dd,kakuban_rank,machine_digit,n,avg_diff,plus_rate,hit104_rate
20,中間,4,113,0.0,36.3,27.4
29,中間,3,80,0.0,35.0,28.7
6,角N,8,33,0.0,33.3,27.3
29,角2,0,30,-3.0,33.3,30.0
10,角N,6,24,-4.0,37.5,25.0
9,角N,1,35,-6.0,37.1,31.4
28,角1,2,33,-6.0,30.3,27.3
31,角N-1,7,18,-6.0,33.3,27.8
9,角1,5,48,-8.0,37.5,31.2
30,角N,4,39,-8.0,41.0,30.8
31,角2,6,24,-8.0,37.5,33.3
27,中間,5,131,-10.0,36.6,30.5
9,中間,2,118,-10.0,33.9,29.7
19,角N,2,31,-16.0,35.5,29.0
28,中間,7,140,-17.0,32.9,27.9
20,中間,5,131,-17.0,41.2,32.1
31,角2,0,18,-17.0,33.3,27.8
19,中間,0,106,-18.0,32.1,26.4
23,角N-1,5,21,-19.0,47.6,33.3
13,中間,5,141,-20.0,35.5,30.5
13,中間,1,117,-21.0,33.3,29.9
9,中間,1,119,-22.0,35.3,25.2
25,中間,2,107,-24.0,39.3,32.7
3,角1,5,44,-25.0,40.9,29.5
17,角1,1,24,-25.0,45.8,33.3
7,角N-1,0,33,-27.0,33.3,30.3
14,角N-1,0,36,-33.0,33.3,33.3
6,中間,3,84,-35.0,35.7,31.0
22,角N,6,22,-36.0,40.9,31.8
11,中間,5,144,-38.0,36.8,32.6
18,角1,2,32,-38.0,31.2,25.0
10,角N-1,5,24,-38.0,41.7,37.5
20,中間,3,87,-39.0,41.4,32.2
10,角N,8,36,-42.0,38.9,27.8
23,角N,8,33,-42.0,36.4,33.3
31,角1,9,18,-44.0,33.3,27.8
3,角N,1,33,-45.0,45.5,33.3
28,角1,9,33,-45.0,36.4,27.3
23,角1,9,33,-52.0,42.4,33.3
30,角1,3,30,-53.0,36.7,33.3
1,角1,5,44,-55.0,47.7,36.4
1,角N,8,33,-55.0,45.5,36.4
31,中間,8,78,-59.0,37.2,29.5
13,角N-1,3,47,-60.0,51.1,34.0
13,角2,0,35,-60.0,28.6,25.7
26,角2,6,44,-61.0,43.2,31.8
23,中間,7,135,-64.0,40.7,30.4
13,角2,3,36,-64.0,36.1,30.6
29,角2,6,40,-65.0,25.0,22.5
4,角1,9,31,-65.0,38.7,32.3
1,中間,5,131,-67.0,36.6,29.0
16,角N,8,36,-67.0,33.3,27.8
29,角2,3,30,-67.0,23.3,23.3
24,角2,2,21,-67.0,28.6,28.6
20,中間,0,107,-70.0,38.3,37.4
2,角1,9,31,-71.0,35.5,35.5
26,角N-1,7,32,-72.0,34.4,28.1
17,角N,8,36,-75.0,36.1,33.3
21,角2,4,33,-76.0,27.3,24.2
21,角N-1,0,33,-76.0,30.3,27.3
30,角N-1,3,40,-78.0,45.0,40.0
2,角2,4,32,-78.0,15.6,15.6
24,角N-1,7,33,-82.0,36.4,27.3
3,中間,2,109,-83.0,35.8,24.8
9,角2,0,36,-83.0,36.1,27.8
31,中間,0,59,-88.0,32.2,25.4
13,角N,2,34,-88.0,52.9,26.5
25,中間,4,116,-91.0,36.2,31.0
14,角N-1,1,34,-91.0,20.6,20.6
22,角2,0,33,-91.0,36.4,27.3
28,角N-1,1,29,-93.0,44.8,37.9
16,角2,6,48,-94.0,35.4,18.8
29,角N,4,39,-97.0,46.2,23.1
15,中間,4,127,-98.0,35.4,29.9
26,角N-1,5,22,-100.0,40.9,31.8
17,中間,1,119,-104.0,41.2,34.5
25,角1,1,21,-105.0,38.1,28.6
6,中間,9,143,-106.0,36.4,30.8
18,中間,2,109,-106.0,39.4,30.3
4,中間,0,107,-109.0,36.4,29.0
1,角N,1,33,-109.0,39.4,33.3
24,中間,4,115,-110.0,36.5,28.7
31,角2,4,18,-111.0,38.9,38.9
16,中間,4,128,-112.0,32.0,25.8
19,角2,4,32,-112.0,28.1,28.1
28,角N,4,42,-114.0,42.9,31.0
22,角1,1,22,-114.0,31.8,27.3
4,角1,1,21,-114.0,23.8,19.0
5,角1,3,33,-118.0,33.3,30.3
22,中間,3,87,-123.0,33.3,24.1
23,中間,2,106,-125.0,33.0,31.1
9,角N,2,34,-129.0,35.3,35.3
31,角N-1,3,24,-129.0,41.7,37.5
20,角1,9,31,-135.0,35.5,25.8
28,角1,1,22,-136.0,27.3,27.3
5,角2,2,21,-138.0,33.3,28.6
28,中間,3,88,-140.0,39.8,34.1
22,角N,4,43,-140.0,41.9,25.6
30,角1,9,30,-140.0,36.7,30.0
11,角N,2,34,-141.0,32.4,26.5
5,角1,2,32,-141.0,37.5,28.1
18,角1,3,32,-144.0,37.5,31.2
19,角2,3,33,-145.0,30.3,24.2
19,角1,2,33,-148.0,30.3,27.3
27,角1,5,44,-150.0,47.7,29.5
30,角N,8,30,-150.0,36.7,20.0
17,角N-1,5,24,-150.0,29.2,25.0
26,角1,9,33,-155.0,39.4,24.2
31,中間,2,60,-157.0,38.3,30.0
14,中間,5,141,-158.0,36.2,28.4
10,角1,5,48,-158.0,43.8,31.2
31,角1,5,24,-158.0,58.3,37.5
4,角N,8,33,-161.0,33.3,24.2
5,中間,6,119,-170.0,32.8,26.1
27,角1,2,33,-170.0,39.4,36.4
19,角N-1,3,44,-175.0,31.8,29.5
27,中間,3,88,-176.0,42.0,31.8
13,中間,8,155,-177.0,31.0,25.2
22,中間,5,132,-177.0,34.8,29.5
26,中間,3,86,-177.0,34.9,30.2
2,角N,4,43,-177.0,27.9,23.3
25,角1,9,33,-179.0,42.4,30.3
2,中間,3,88,-182.0,31.8,29.5
27,角N,1,33,-182.0,45.5,36.4
11,角N-1,5,23,-187.0,34.8,26.1
6,角1,5,44,-189.0,45.5,27.3
18,中間,3,87,-193.0,31.0,24.1
25,角N-1,3,44,-193.0,36.4,29.5
11,角N-1,1,35,-197.0,40.0,28.6
21,中間,1,108,-200.0,35.2,25.9
15,角2,4,36,-200.0,36.1,27.8
10,角N-1,1,34,-200.0,35.3,26.5
22,角N,8,33,-200.0,33.3,30.3
21,角N,6,22,-200.0,40.9,22.7
31,中間,5,70,-203.0,32.9,30.0
25,角1,3,33,-209.0,36.4,24.2
30,角N-1,7,30,-213.0,43.3,33.3
28,角2,3,33,-215.0,39.4,27.3
28,角N-1,0,32,-216.0,31.2,21.9
8,中間,3,92,-225.0,33.7,29.3
17,角1,5,48,-231.0,35.4,20.8
21,角1,5,44,-234.0,38.6,29.5
31,角N,2,17,-241.0,23.5,23.5
9,角2,6,47,-249.0,29.8,21.3
15,角N,8,36,-250.0,36.1,30.6
9,角N-1,5,23,-252.0,26.1,26.1
26,角2,0,33,-255.0,30.3,27.3
1,角1,3,33,-258.0,27.3,24.2
15,角N-1,1,33,-261.0,39.4,30.3
5,角N,8,33,-264.0,33.3,24.2
21,角N,8,33,-264.0,24.2,15.2
22,角1,2,33,-267.0,33.3,27.3
6,角2,2,21,-267.0,28.6,23.8
15,角N,1,36,-269.0,33.3,25.0
2,角2,6,43,-272.0,34.9,25.6
25,角N-1,0,33,-273.0,27.3,24.2
20,角N,2,32,-275.0,37.5,34.4
2,角N,6,22,-282.0,36.4,27.3
6,角N-1,0,33,-285.0,30.3,21.2
16,角N-1,1,34,-288.0,35.3,29.4
4,角2,0,33,-288.0,30.3,21.2
18,角1,9,32,-288.0,28.1,21.9
16,角N-1,3,47,-289.0,34.0,23.4
14,角N,2,34,-294.0,29.4,29.4
20,角2,4,33,-294.0,33.3,27.3
1,角N,6,22,-295.0,31.8,22.7
19,角2,0,32,-297.0,34.4,31.2
20,中間,6,120,-302.0,30.8,26.7
25,角N,8,33,-303.0,30.3,24.2
28,角2,2,21,-310.0,42.9,28.6
8,角N-1,5,24,-312.0,33.3,25.0
16,角2,2,23,-313.0,34.8,30.4
21,角N-1,5,22,-314.0,40.9,22.7
26,角N,4,42,-321.0,33.3,31.0
23,中間,5,130,-322.0,35.4,28.5
4,中間,3,86,-322.0,29.1,20.9
19,角N,8,33,-324.0,36.4,27.3
20,角N,8,33,-327.0,39.4,27.3
10,角1,1,23,-330.0,34.8,26.1
20,角2,2,20,-330.0,15.0,15.0
13,中間,6,131,-332.0,26.7,22.1
17,中間,3,96,-332.0,31.2,25.0
13,角N-1,7,35,-340.0,37.1,25.7
30,角N,2,29,-345.0,27.6,24.1
17,角N-1,7,36,-356.0,33.3,27.8
23,角2,3,33,-364.0,39.4,30.3
24,角2,0,33,-367.0,30.3,24.2
24,角2,3,32,-372.0,34.4,25.0
29,角N,8,30,-373.0,26.7,23.3
9,角N,8,36,-375.0,36.1,30.6
31,角N,8,18,-378.0,33.3,27.8
11,角1,1,24,-379.0,33.3,33.3
27,角1,9,33,-382.0,33.3,24.2
27,角N,6,22,-382.0,31.8,22.7
17,角N-1,0,36,-383.0,25.0,25.0
29,角2,4,30,-383.0,36.7,26.7
24,中間,2,108,-384.0,31.5,28.7
24,角N,1,32,-384.0,28.1,21.9
22,角2,4,33,-385.0,30.3,27.3
30,角2,6,40,-390.0,32.5,25.0
27,角2,0,33,-391.0,33.3,21.2
9,角1,1,22,-395.0,22.7,18.2
10,角1,3,35,-403.0,34.3,25.7
24,角2,4,33,-406.0,24.2,21.2
20,角1,1,22,-409.0,31.8,31.8
13,角2,6,48,-412.0,33.3,27.1
12,角N,4,40,-418.0,30.0,25.0
27,角2,2,21,-419.0,33.3,28.6
23,角1,5,44,-425.0,34.1,22.7
20,角N-1,7,33,-439.0,33.3,24.2
31,角N,1,18,-439.0,44.4,33.3
27,角1,1,22,-441.0,40.9,31.8
5,角1,1,21,-448.0,19.0,14.3
28,角N-1,7,32,-456.0,28.1,21.9
9,角N,6,24,-458.0,33.3,20.8
14,角N-1,3,48,-460.0,35.4,20.8
2,角1,5,44,-464.0,36.4,25.0
15,角1,3,36,-464.0,38.9,33.3
18,角N,1,33,-467.0,27.3,21.2
22,角N-1,3,44,-468.0,29.5,22.7
23,角1,3,33,-473.0,33.3,27.3
6,角1,9,32,-481.0,31.2,28.1
24,角1,9,33,-485.0,27.3,15.2
23,角N-1,0,32,-488.0,28.1,18.8
24,角N-1,1,30,-490.0,33.3,23.3
31,角N,4,23,-500.0,43.5,17.4
7,角1,9,32,-503.0,28.1,25.0
22,角N-1,1,31,-513.0,29.0,12.9
19,角N-1,1,30,-513.0,23.3,10.0
17,角N,6,24,-529.0,41.7,33.3
11,角2,4,36,-533.0,27.8,25.0
2,角N-1,0,32,-534.0,28.1,15.6
29,角1,5,40,-540.0,37.5,22.5
29,角1,1,20,-545.0,30.0,25.0
6,角N,6,21,-557.0,33.3,19.0
11,角2,3,36,-567.0,38.9,25.0
16,角1,3,36,-567.0,25.0,22.2
15,角1,1,24,-567.0,29.2,25.0
5,角N-1,7,33,-576.0,33.3,30.3
16,角N,2,34,-579.0,26.5,17.6
22,角N,1,33,-579.0,36.4,18.2
16,角2,4,35,-580.0,31.4,28.6
11,角N,8,36,-583.0,36.1,25.0
5,角N,6,22,-586.0,27.3,22.7
4,角1,3,33,-588.0,27.3,24.2
18,角N,2,30,-593.0,30.0,26.7
29,角2,2,19,-605.0,21.1,21.1
2,角N,8,33,-612.0,42.4,36.4
13,角2,2,23,-613.0,21.7,21.7
11,角N,6,24,-617.0,16.7,12.5
12,角N,8,29,-621.0,31.0,31.0
25,角N-1,1,30,-657.0,26.7,20.0
18,角N,6,22,-668.0,27.3,18.2
29,角N,2,29,-676.0,27.6,24.1
11,角1,3,36,-689.0,44.4,33.3
30,角1,1,20,-690.0,30.0,25.0
19,角N,4,43,-705.0,27.9,18.6
22,角1,3,33,-709.0,24.2,21.2
3,角N,6,22,-718.0,18.2,13.6
30,角N-1,5,20,-720.0,40.0,25.0
19,角1,3,33,-727.0,33.3,24.2
14,角N-1,5,23,-743.0,30.4,26.1
7,角1,3,33,-748.0,27.3,21.2
24,角1,1,22,-764.0,13.6,9.1
29,角1,3,30,-767.0,26.7,20.0
16,角N,6,24,-779.0,33.3,29.2
29,角N,6,20,-780.0,20.0,20.0
19,角N-1,7,33,-812.0,18.2,12.1
17,角N,1,36,-814.0,36.1,25.0
25,角N,2,32,-844.0,28.1,21.9
2,角N-1,5,22,-886.0,9.1,9.1
7,角N,2,32,-1191.0,18.8,15.6
19,角N,6,21,-1333.0,4.8,4.8
31,角1,3,18,-1333.0,16.7,16.7
26,角N,6,22,-1441.0,4.5,4.5
