date,machine_number,machine_name,games,diff,payout,day_baseline,edge,edge_vs_excluded,pool_size,universe_size
20260504,3050,かぐや様は告らせたい,5286,-1400,0.9117164837936688,-280.55944055944053,-1119.4405594405594,-1098.8587731811697,715,715
20260504,3051,かぐや様は告らせたい,7106,2000,1.0938174312787317,-280.55944055944053,2280.5594405594406,2301.14122681883,715,715
20260504,3052,かぐや様は告らせたい,2981,-1200,0.8658168399865817,-280.55944055944053,-919.4405594405595,-898.8587731811697,715,715
20260504,2102,ソードアート・オンライン,3943,400,1.0338151999323697,-280.55944055944053,680.5594405594405,701.1412268188303,715,715
20260504,2103,ソードアート・オンライン,5926,-1200,0.9325008437394533,-280.55944055944053,-919.4405594405595,-898.8587731811697,715,715
20260504,2104,ソードアート・オンライン,3460,900,1.0867052023121386,-280.55944055944053,1180.5594405594406,1201.1412268188303,715,715
20260504,2105,ソードアート・オンライン,2706,2600,1.3202759300320277,-280.55944055944053,2880.5594405594406,2901.14122681883,715,715
20260511,2015,モンキーターンV,5020,1800,1.1195219123505975,-43.07692307692308,1843.076923076923,1849.7067448680352,715,715
20260511,2016,モンキーターンV,2426,-1500,0.7938994229183842,-43.07692307692308,-1456.923076923077,-1450.2932551319648,715,715
20260511,2017,モンキーターンV,805,-600,0.7515527950310559,-43.07692307692308,-556.9230769230769,-550.2932551319648,715,715
20260511,2018,モンキーターンV,5261,600,1.0380155863904201,-43.07692307692308,643.0769230769231,649.7067448680352,715,715
20260511,2019,モンキーターンV,2225,-1900,0.7153558052434457,-43.07692307692308,-1856.923076923077,-1850.2932551319648,715,715
20260511,2020,モンキーターンV,4091,-2400,0.8044487900268883,-43.07692307692308,-2356.923076923077,-2350.293255131965,715,715
20260511,2021,モンキーターンV,3136,-1500,0.8405612244897959,-43.07692307692308,-1456.923076923077,-1450.2932551319648,715,715
20260511,2022,モンキーターンV,3307,-1500,0.8488055639552464,-43.07692307692308,-1456.923076923077,-1450.2932551319648,715,715
20260511,2023,モンキーターンV,4027,-1900,0.8427282509726016,-43.07692307692308,-1856.923076923077,-1850.2932551319648,715,715
20260511,2024,モンキーターンV,5374,-2900,0.8201215730058306,-43.07692307692308,-2856.923076923077,-2850.293255131965,715,715
20260511,2025,モンキーターンV,5270,-600,0.9620493358633776,-43.07692307692308,-556.9230769230769,-550.2932551319648,715,715
20260511,2026,モンキーターンV,5918,800,1.0450602681085952,-43.07692307692308,843.0769230769231,849.7067448680352,715,715
20260511,2027,モンキーターンV,5296,2500,1.1573514602215509,-43.07692307692308,2543.076923076923,2549.706744868035,715,715
20260511,2028,モンキーターンV,5102,800,1.052267084803345,-43.07692307692308,843.0769230769231,849.7067448680352,715,715
20260511,2035,モンキーターンV,2011,-1700,0.7182164760484004,-43.07692307692308,-1656.923076923077,-1650.2932551319648,715,715
