hall,axis,focus_value,offset_value,n_days,focus_mean_excess,offset_mean_excess,offset_gap,corr_excess,verdict
楽園,kakuban_bin,2091-2100,1141-1150,162,2462.1042095572275,-29.007278782964516,2491.111488340192,-0.137125865191853,offset_candidate
楽園,kakuban_bin,2091-2100,2161-2170,162,2462.1042095572275,-22.985191285414057,2485.0894008426417,-0.07489518813491026,offset_candidate
楽園,kakuban_bin,2091-2100,2071-2080,162,2462.1042095572275,-22.390617015376794,2484.4948265726043,-0.06203122800822864,offset_candidate
楽園,kakuban_bin,2091-2100,1181-1190,162,2462.1042095572275,-20.20607850861609,2482.3102880658435,-0.06742256862454872,offset_candidate
楽園,kakuban_bin,2091-2100,3201-3210,160,2462.1042095572275,-17.018709677505793,2479.122919234733,-0.08383128910827403,offset_candidate
楽園,kakuban_bin,2091-2100,2171-2180,162,2462.1042095572275,-16.27739930030726,2478.381608857535,0.16340700146029633,offset_candidate
楽園,kakuban_bin,2091-2100,1991-2000,143,2462.1042095572275,-13.739816339122513,2475.84402589635,-0.06649075757690823,offset_candidate
楽園,kakuban_bin,2091-2100,2201-2210,162,2462.1042095572275,-9.99511192033469,2472.099321477562,-0.04086424759765877,offset_candidate
楽園,kakuban_bin,2091-2100,2151-2160,162,2462.1042095572275,-0.739899300307253,2462.8441088575346,-0.07513186581191988,offset_candidate
楽園,kakuban_bin,2091-2100,2081-2090,162,2462.1042095572275,5.349229643451317,2456.754979913776,-0.06287353572408337,no_offset
楽園,kakuban_bin,2091-2100,1021-1030,162,2462.1042095572275,6.358846535475617,2455.745363021752,-0.09166214687523495,no_offset
楽園,kakuban_bin,2091-2100,2191-2200,162,2462.1042095572275,6.507969600339434,2455.596239956888,-0.005079732418728944,no_offset
楽園,kakuban_bin,2091-2100,3171-3180,159,2462.1042095572275,7.947027178359841,2454.1571823788677,0.09606369715180853,no_offset
楽園,kakuban_bin,2091-2100,2221-2230,161,2462.1042095572275,9.780368282181032,2452.3238412750466,-0.0028519753337337976,no_offset
楽園,kakuban_bin,2091-2100,1121-1130,162,2462.1042095572275,11.295937462381367,2450.808272094846,-0.04384545770108275,no_offset
楽園,kakuban_bin,2091-2100,3161-3170,162,2462.1042095572275,31.887971559971014,2430.2162379972565,-0.05599444259240514,no_offset
楽園,kakuban_bin,2091-2100,2131-2140,160,2462.1042095572275,32.66577750688155,2429.438432050346,-0.11610174722431976,no_offset
楽園,kakuban_bin,2091-2100,1001-1010,162,2462.1042095572275,35.7824282521129,2426.3217813051147,0.13573568442894185,no_offset
楽園,kakuban_bin,2091-2100,2031-2040,160,2462.1042095572275,41.051820030097,2421.0523895271303,0.15045475136303166,no_offset
楽園,kakuban_bin,2091-2100,3261-3270,160,2462.1042095572275,41.21313278351361,2420.891076773714,0.0435591194169585,no_offset
楽園,kakuban_bin,2091-2100,3101-3110,148,2462.1042095572275,41.86460038958399,2420.2396091676433,0.01761927933849273,no_offset
楽園,kakuban_bin,2091-2100,2141-2150,162,2462.1042095572275,50.22050634343172,2411.883703213796,-0.02116488126421745,no_offset
楽園,kakuban_bin,2091-2100,3241-3250,162,2462.1042095572275,54.712241597204006,2407.3919679600235,-0.10282605306686028,no_offset
楽園,kakuban_bin,2091-2100,3211-3220,158,2462.1042095572275,63.217244980365095,2398.8869645768623,-0.11737538435562637,no_offset
楽園,kakuban_bin,1991-2000,2041-2050,161,2120.272642802081,-274.71335739509914,2394.98600019718,0.1015620969785722,offset_candidate
楽園,kakuban_bin,2091-2100,2211-2220,160,2462.1042095572275,74.49040927315114,2387.613800284076,0.08867495925197463,no_offset
楽園,kakuban_bin,1991-2000,2091-2100,143,2120.272642802081,-266.869181619374,2387.141824421455,-0.028700326932750164,offset_candidate
楽園,kakuban_bin,2091-2100,2021-2030,162,2462.1042095572275,76.61589875965748,2385.48831079757,0.029320248173704367,no_offset
楽園,kakuban_bin,2091-2100,3231-3240,162,2462.1042095572275,81.99856826778993,2380.1056412894377,-0.08247847816001967,no_offset
楽園,kakuban_bin,1991-2000,2071-2080,161,2120.272642802081,-244.4593817468689,2364.73202454895,0.030756917132811205,offset_candidate
楽園,kakuban_bin,2091-2100,2181-2190,162,2462.1042095572275,100.7907125946565,2361.3134969625708,-0.10891394710443905,no_offset
楽園,kakuban_bin,2091-2100,2051-2060,162,2462.1042095572275,107.33501006673175,2354.769199490496,0.07103761127139256,no_offset
楽園,kakuban_bin,2091-2100,3221-3230,162,2462.1042095572275,117.34864420351404,2344.7555653537133,0.04763744585349492,no_offset
楽園,kakuban_bin,2091-2100,2101-2110,162,2462.1042095572275,129.8792511993988,2332.2249583578287,0.006361120849258259,no_offset
楽園,kakuban_bin,2091-2100,1011-1020,162,2462.1042095572275,154.09902143259495,2308.0051881246327,-0.14618771795926652,no_offset
楽園,kakuban_bin,1991-2000,1091-1100,152,2120.272642802081,-171.98621891961744,2292.2588617216984,0.11445919796368126,offset_candidate
楽園,kakuban_bin,2091-2100,1031-1040,162,2462.1042095572275,176.86354720175035,2285.240662355477,0.07845809136978105,no_offset
楽園,kakuban_bin,1991-2000,2001-2010,161,2120.272642802081,-141.05488357078684,2261.327526372868,-0.08054160657214003,offset_candidate
楽園,kakuban_bin,1991-2000,1021-1030,161,2120.272642802081,-136.48203283629013,2256.7546756383713,-0.014863187292171535,offset_candidate
楽園,kakuban_bin,2091-2100,1041-1050,162,2462.1042095572275,210.03219799540116,2252.0720115618265,-0.05330672814166071,no_offset
楽園,kakuban_bin,1991-2000,1211-1220,161,2120.272642802081,-130.48822676313623,2250.760869565217,-0.01150627708563543,offset_candidate
楽園,kakuban_bin,2091-2100,1051-1060,162,2462.1042095572275,218.60934379199145,2243.494865765236,0.03403838599805502,no_offset
楽園,kakuban_bin,1991-2000,1131-1140,161,2120.272642802081,-120.05290683806476,2240.3255496401457,-0.03512512025745312,offset_candidate
楽園,kakuban_bin,2091-2100,2061-2070,160,2462.1042095572275,227.64259455493553,2234.461615002292,-0.06101447591958796,no_offset
楽園,kakuban_bin,1991-2000,1201-1210,161,2120.272642802081,-108.5292205519561,2228.8018633540373,-0.061533783199808505,offset_candidate
楽園,kakuban_bin,1991-2000,3251-3260,160,2120.272642802081,-102.23171941083635,2222.5043622129174,-0.10586971469138123,offset_candidate
楽園,kakuban_bin,1991-2000,3111-3120,159,2120.272642802081,-99.37777486979776,2219.6504176718786,-0.10930206925291296,offset_candidate
楽園,kakuban_bin,1991-2000,1191-1200,161,2120.272642802081,-94.49360978591055,2214.7662525879914,-0.16918074382896575,offset_candidate
楽園,kakuban_bin,1991-2000,2031-2040,160,2120.272642802081,-90.99990262237012,2211.272545424451,-0.022832807580228733,offset_candidate
楽園,kakuban_bin,1991-2000,3141-3150,158,2120.272642802081,-88.86542564372712,2209.138068445808,-0.06422782893522251,offset_candidate
楽園,kakuban_bin,1991-2000,2151-2160,161,2120.272642802081,-62.96169861564537,2183.2343414177262,-0.1743724208923331,offset_candidate
楽園,kakuban_bin,1991-2000,1151-1160,161,2120.272642802081,-56.72987371177076,2177.002516513852,-0.029820698552974194,offset_candidate
楽園,kakuban_bin,1991-2000,3131-3140,159,2120.272642802081,-55.711959107711365,2175.984601909792,-0.046189621168234184,offset_candidate
楽園,kakuban_bin,1991-2000,1161-1170,161,2120.272642802081,-45.35830957887122,2165.6309523809523,-0.007766845062621974,offset_candidate
楽園,kakuban_bin,1991-2000,2111-2120,161,2120.272642802081,-39.6172541712009,2159.889896973282,0.15502752368129163,offset_candidate
楽園,kakuban_bin,1991-2000,1141-1150,161,2120.272642802081,-33.81967948915417,2154.092322291235,0.04174593317248098,offset_candidate
楽園,kakuban_bin,1991-2000,1101-1110,161,2120.272642802081,-32.115777783544395,2152.388420585625,-0.06617838353906474,offset_candidate
楽園,kakuban_bin,1991-2000,3191-3200,159,2120.272642802081,-24.034769408199303,2144.3074122102803,-0.06921129012450025,offset_candidate
