hall,date,axis,axis_value,n_machines,total_games,total_diff,avg_diff,plus_rate,hit104_rate,games_share,diff_share,excess_vs_hall_day,hit104_lift_vs_hall_day
蒲田7,20260621,machine_category,juggler,172,948909,2300,13.372093023255815,0.42441860465116277,0.23255813953488372,0.30124209996990464,-0.025219298245614034,141.82279724860794,-0.06039960694398952
蒲田7,20260621,machine_category,other,479,1968058,-77500,-161.79540709812107,0.37995824634655534,0.3173277661795407,0.6247826975848797,0.8497807017543859,-33.34470287276895,0.02437001970066749
蒲田7,20260622,machine_category,at_smart,33,125811,12300,372.72727272727275,0.5151515151515151,0.3939393939393939,0.04961768538354509,0.11669829222011385,223.22372662798196,0.08188265635074143
蒲田7,20260622,machine_category,hana_oki,25,104385,-900,-36.0,0.36,0.36,0.04116764105492647,-0.008538899430740038,-185.5035460992908,0.0479432624113475
蒲田7,20260622,machine_category,juggler,172,785172,44600,259.30232558139534,0.43023255813953487,0.29069767441860467,0.3096582752539036,0.42314990512333966,109.79877948210455,-0.02135906317004782
蒲田7,20260622,machine_category,other,475,1520240,49400,104.0,0.35368421052631577,0.31157894736842107,0.5995563983076249,0.4686907020872865,-45.50354609929079,-0.00047779022023142215
蒲田7,20260623,machine_category,at_smart,34,94620,-9800,-288.2352941176471,0.2647058823529412,0.20588235294117646,0.04042459927866314,-0.11212814645308924,-412.91432407485104,-0.10367542166652682
蒲田7,20260623,machine_category,hana_oki,25,100247,9200,368.0,0.44,0.44,0.04282862823809072,0.10526315789473684,243.320970042796,0.13044222539229672
蒲田7,20260623,machine_category,juggler,172,764914,50600,294.1860465116279,0.5232558139534884,0.29651162790697677,0.3267949897763616,0.5789473684210527,169.50701655442393,-0.013046146700726513
蒲田7,20260623,machine_category,other,470,1380873,37400,79.57446808510639,0.3595744680851064,0.3148936170212766,0.5899517827068845,0.4279176201372998,-45.104561872097605,0.005335842413573322
蒲田7,20260624,machine_category,at_smart,34,130364,4100,120.58823529411765,0.38235294117647056,0.29411764705882354,0.058648445836879906,0.09172259507829977,57.36334137615443,0.012646642815542064
蒲田7,20260624,machine_category,hana_oki,25,110440,-5500,-220.0,0.28,0.2,0.04968499246897162,-0.12304250559284116,-283.22489391796324,-0.08147100424328146
蒲田7,20260624,machine_category,juggler,172,659226,22400,130.2325581395349,0.4011627906976744,0.22674418604651161,0.2965740569119005,0.5011185682326622,67.00766422157167,-0.05472681819676986
蒲田7,20260624,machine_category,other,476,1322774,23700,49.78991596638655,0.3382352941176471,0.30462184873949577,0.595092504782248,0.5302013422818792,-13.43497795157667,0.023150844496214296
蒲田7,20260625,machine_category,at_smart,34,100568,-4700,-138.23529411764707,0.35294117647058826,0.29411764705882354,0.05325233860625104,0.43119266055045874,-122.25288942556496,-0.015266517164050364
蒲田7,20260625,machine_category,hana_oki,25,85292,-2700,-108.0,0.4,0.24,0.045163456212755186,0.24770642201834864,-92.01759530791789,-0.06938416422287391
蒲田7,20260625,machine_category,juggler,172,527671,-2300,-13.372093023255815,0.3430232558139535,0.23837209302325582,0.27941009828871105,0.21100917431192662,2.610311668826297,-0.07101207119961808
蒲田7,20260625,machine_category,other,451,1174987,-1200,-2.6607538802660753,0.37915742793791574,0.34146341463414637,0.6221741068922827,0.11009174311926606,13.321650811816037,0.032079250411272464
蒲田7,20260626,machine_category,at_smart,34,106106,-3200,-94.11764705882354,0.2647058823529412,0.20588235294117646,0.04675966363150004,-0.05871559633027523,-171.6425403731905,-0.07576771818257888
蒲田7,20260626,machine_category,hana_oki,25,96850,10700,428.0,0.28,0.28,0.042680653522993786,0.1963302752293578,350.475106685633,-0.0016500711237553145
蒲田7,20260626,machine_category,juggler,171,650025,26600,155.55555555555554,0.391812865497076,0.26900584795321636,0.2864583562858445,0.48807339449541287,78.03066224118855,-0.012644223170538982
蒲田7,20260626,machine_category,other,473,1416197,20400,43.12896405919662,0.33403805496828753,0.2917547568710359,0.6241013265596617,0.3743119266055046,-34.39592925517037,0.010104685747280573
蒲田7,20260627,machine_category,at_smart,34,200675,-15400,-452.94117647058823,0.35294117647058826,0.29411764705882354,0.05317113806769977,-0.3623529411764706,-512.8003314001656,-0.03827671913835956
蒲田7,20260627,machine_category,hana_oki,25,138460,15600,624.0,0.56,0.4,0.036686561738401444,0.36705882352941177,564.1408450704225,0.06760563380281692
蒲田7,20260627,machine_category,juggler,172,1024722,15800,91.86046511627907,0.436046511627907,0.27325581395348836,0.271511822314735,0.37176470588235294,32.00131018670161,-0.05913855224369474
蒲田7,20260627,machine_category,other,479,2410277,26500,55.323590814196244,0.40501043841336115,0.35281837160751567,0.6386304778791638,0.6235294117647059,-4.53556411538122,0.02042400541033257
蒲田7,20260628,machine_category,at_smart,34,160859,-30200,-888.2352941176471,0.23529411764705882,0.20588235294117646,0.04986615785468169,0.24794745484400657,-716.6859983429993,-0.08144159072079538
蒲田7,20260628,machine_category,hana_oki,25,115580,-300,-12.0,0.32,0.28,0.035829705051281614,0.0024630541871921183,159.54929577464787,-0.00732394366197181
蒲田7,20260628,machine_category,juggler,172,853615,6100,35.46511627906977,0.37790697674418605,0.2441860465116279,0.2646199487571358,-0.05008210180623974,207.01441205371765,-0.04313789715034394
