hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate,baseline_hit104_rate,baseline_plus_rate
レイトギャップ,甲鉄城のカバネリ,day_of_week,hit104,月,0,72,-305.68055555555554,23.61111111111111,22.22222222222222,34.69,39.11
レイトギャップ,甲鉄城のカバネリ,day_of_week,hit104,火,1,76,-78.57894736842105,39.473684210526315,28.947368421052634,34.69,39.11
レイトギャップ,甲鉄城のカバネリ,day_of_week,hit104,水,2,75,-149.30666666666667,37.333333333333336,32.0,34.69,39.11
レイトギャップ,甲鉄城のカバネリ,day_of_week,hit104,木,3,75,-54.373333333333335,46.666666666666664,42.66666666666667,34.69,39.11
レイトギャップ,甲鉄城のカバネリ,day_of_week,hit104,金,4,75,8.933333333333334,44.0,40.0,34.69,39.11
レイトギャップ,甲鉄城のカバネリ,day_of_week,hit104,土,5,83,-146.03614457831324,40.963855421686745,34.93975903614458,34.69,39.11
レイトギャップ,甲鉄城のカバネリ,day_of_week,hit104,日,6,86,350.6279069767442,40.69767441860465,40.69767441860465,34.69,39.11
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,月,0,137,-70.39416058394161,38.68613138686132,32.846715328467155,29.67,38.37
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,火,1,137,-283.0875912408759,37.95620437956204,27.00729927007299,29.67,38.37
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,水,2,132,-625.25,28.78787878787879,23.484848484848484,29.67,38.37
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,木,3,132,155.5681818181818,34.84848484848485,28.78787878787879,29.67,38.37
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,金,4,118,26.576271186440678,42.3728813559322,29.66101694915254,29.67,38.37
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,土,5,132,111.20454545454545,41.66666666666667,31.818181818181817,29.67,38.37
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,日,6,132,140.2651515151515,44.696969696969695,34.090909090909086,29.67,38.37
レイトギャップ,ジャグラーガールズ,day_of_week,hit104,月,0,263,219.73764258555133,50.950570342205324,32.69961977186312,24.91,43.04
レイトギャップ,ジャグラーガールズ,day_of_week,hit104,火,1,267,-12.741573033707866,38.57677902621723,23.220973782771537,24.91,43.04
レイトギャップ,ジャグラーガールズ,day_of_week,hit104,水,2,262,-22.99618320610687,40.839694656488554,24.045801526717558,24.91,43.04
