window_end,mean,n_obs,metric,window_days
2026-04-03,73.72569444444443,60,edge_vs_excluded,60
2026-04-10,85.29166666666669,60,edge_vs_excluded,60
2026-04-17,93.13541666666669,60,edge_vs_excluded,60
2026-04-24,97.1736111111111,60,edge_vs_excluded,60
2026-05-01,116.25347222222224,60,edge_vs_excluded,60
2026-05-08,67.19791666666666,60,edge_vs_excluded,60
2026-05-15,87.77777777777779,60,edge_vs_excluded,60
2026-05-22,125.54861111111111,60,edge_vs_excluded,60
2026-05-29,134.05902777777777,60,edge_vs_excluded,60
2026-06-05,165.1412429378531,59,edge_vs_excluded,60
2026-06-12,182.7189265536723,59,edge_vs_excluded,60
2026-06-19,186.72413793103448,58,edge_vs_excluded,60
2026-06-26,227.503591954023,58,edge_vs_excluded,60
2026-07-03,244.14152298850573,58,edge_vs_excluded,60
2026-07-10,294.22751117991055,57,edge_vs_excluded,60
2026-07-17,252.61767572526082,57,edge_vs_excluded,60
2025-10-05,187.74305555555554,90,edge_vs_excluded,90
2025-10-12,171.94212962962962,90,edge_vs_excluded,90
2025-10-19,189.51310861423227,89,edge_vs_excluded,90
2025-10-26,177.57958801498128,89,edge_vs_excluded,90
2025-11-02,143.9817415730337,89,edge_vs_excluded,90
2025-11-09,152.15121722846442,89,edge_vs_excluded,90
2025-11-16,154.9859550561798,89,edge_vs_excluded,90
2025-11-23,153.9419475655431,89,edge_vs_excluded,90
2025-11-30,171.06273408239701,89,edge_vs_excluded,90
2025-12-07,171.12359550561797,89,edge_vs_excluded,90
2025-12-14,157.07631086142322,89,edge_vs_excluded,90
2025-12-21,179.59737827715358,89,edge_vs_excluded,90
2025-12-28,160.72097378277155,89,edge_vs_excluded,90
2026-01-04,156.36704119850185,89,edge_vs_excluded,90
2026-01-11,142.7199074074074,90,edge_vs_excluded,90
2026-01-18,138.1087962962963,90,edge_vs_excluded,90
2026-01-25,157.98611111111111,90,edge_vs_excluded,90
2026-02-01,155.6921296296296,90,edge_vs_excluded,90
2026-02-08,149.30787037037032,90,edge_vs_excluded,90
2026-02-15,143.00462962962962,90,edge_vs_excluded,90
2026-02-22,124.3310185185185,90,edge_vs_excluded,90
2026-03-01,133.82175925925927,90,edge_vs_excluded,90
2026-03-08,114.06712962962965,90,edge_vs_excluded,90
2026-03-15,97.36574074074073,90,edge_vs_excluded,90
