index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type
5,3F_R_N,-432.0,275.30120481927713,40.0,98.70438941248682,-707.3012048192771,1.0,1.4280000000000002,2.0,1.4280000000000002,7.0,1.9992,14.0,1.5378461538461539,13.0,1.8942857142857144,11.0,2.3444776119402984,2025-10-27,v9b_blend_05,90,event
0,2F_L_N,896.0,175.3012048192771,50.0,104.54858487485755,720.6987951807229,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,15.0,1.6476923076923078,10.0,1.4571428571428573,4.0,0.8525373134328358,2025-10-27,v9c_percentile,90,event
1,2F_R_N,620.0,196.0843373493976,40.0,106.37970966121152,423.91566265060237,0.0,0.0,1.0,0.7140000000000001,6.0,1.7136,10.0,1.0984615384615386,9.0,1.3114285714285716,7.0,1.4919402985074626,2025-10-27,v9c_percentile,90,event
2,3F_L_A,58.0,238.40361445783134,44.0,98.9408645798479,-180.40361445783134,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.21969230769230771,0.0,0.0,0.0,0.0,2025-10-27,v9c_percentile,90,event
3,3F_L_N,38.0,239.90963855421685,44.0,100.40958176765551,-201.90963855421685,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,12.0,1.3181538461538462,10.0,1.4571428571428573,7.0,1.4919402985074626,2025-10-27,v9c_percentile,90,event
4,3F_R_A,390.0,213.40361445783134,64.0,99.96784634248634,176.59638554216866,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.32953846153846156,3.0,0.43714285714285717,2.0,0.4262686567164179,2025-10-27,v9c_percentile,90,event
5,3F_R_N,-432.0,275.30120481927713,40.0,98.70438941248682,-707.3012048192771,1.0,1.4280000000000002,2.0,1.4280000000000002,7.0,1.9992,14.0,1.5378461538461539,13.0,1.8942857142857144,11.0,2.3444776119402984,2025-10-27,v9c_percentile,90,event
0,2F_L_N,98.0,192.62048192771084,32.0,99.10443576703562,-94.62048192771084,1.0,1.4280000000000002,2.0,1.4280000000000002,5.0,1.428,7.0,1.1359090909090908,5.0,1.2526315789473683,4.0,1.632,2025-10-28,v6a_hit_an,90,non_event
1,2F_R_N,-232.0,217.46987951807228,32.0,96.0769441796157,-449.4698795180723,0.0,0.0,0.0,0.0,1.0,0.2856,5.0,0.8113636363636363,2.0,0.5010526315789474,1.0,0.408,2025-10-28,v6a_hit_an,90,non_event
2,3F_L_A,422.0,168.22289156626505,44.0,99.0612059769483,253.77710843373495,0.0,0.0,0.0,0.0,1.0,0.2856,7.0,1.1359090909090908,2.0,0.5010526315789474,1.0,0.408,2025-10-28,v6a_hit_an,90,non_event
3,3F_L_N,612.0,153.9156626506024,44.0,101.39393614273274,458.08433734939763,3.0,4.284000000000001,4.0,2.8560000000000003,5.0,1.428,7.0,1.1359090909090908,6.0,1.503157894736842,4.0,1.632,2025-10-28,v6a_hit_an,90,non_event
4,3F_R_A,208.0,184.33734939759037,38.0,98.12648542301912,23.662650602409627,0.0,0.0,0.0,0.0,1.0,0.2856,4.0,0.649090909090909,1.0,0.2505263157894737,0.0,0.0,2025-10-28,v6a_hit_an,90,non_event
5,3F_R_N,602.0,154.66867469879517,34.0,105.2239687964545,447.33132530120486,2.0,2.8560000000000003,5.0,3.5700000000000003,7.0,1.9992,8.0,1.298181818181818,7.0,1.7536842105263157,6.0,2.448,2025-10-28,v6a_hit_an,90,non_event
