hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,kakuban,2,dd,plus,22,22,633,428.7519747235387,43.60189573459716,34.913112164297
蒲田7,kakuban,2,dd,plus,23,23,620,169.83870967741936,41.4516129032258,33.387096774193544
蒲田7,kakuban,2,dd,plus,24,24,627,-11.483253588516746,36.68261562998405,29.505582137161085
蒲田7,kakuban,2,dd,plus,25,25,624,294.0705128205128,42.30769230769231,33.81410256410257
蒲田7,kakuban,2,dd,plus,26,26,624,151.12179487179486,39.26282051282051,31.73076923076923
蒲田7,kakuban,2,dd,plus,27,27,634,22.870662460567825,40.536277602523654,31.07255520504732
蒲田7,kakuban,2,dd,plus,28,28,625,124.48,40.8,32.16
蒲田7,kakuban,2,dd,plus,29,29,573,-8.726003490401396,34.3804537521815,28.79581151832461
蒲田7,kakuban,2,dd,plus,30,30,580,498.1034482758621,46.03448275862069,36.896551724137936
蒲田7,kakuban,2,dd,plus,31,31,314,100.31847133757962,42.99363057324841,32.1656050955414
蒲田7,kakuban,13,dd,plus,1,1,394,361.4213197969543,45.431472081218274,34.77157360406091
蒲田7,kakuban,13,dd,plus,2,2,388,-52.577319587628864,34.79381443298969,28.09278350515464
蒲田7,kakuban,13,dd,plus,3,3,357,201.68067226890756,39.21568627450981,32.49299719887955
蒲田7,kakuban,13,dd,plus,4,4,361,152.90858725761774,39.335180055401665,30.747922437673132
蒲田7,kakuban,13,dd,plus,5,5,357,289.9159663865546,41.45658263305322,32.49299719887955
蒲田7,kakuban,13,dd,plus,6,6,350,288.57142857142856,41.14285714285714,32.285714285714285
蒲田7,kakuban,13,dd,plus,7,7,395,625.5696202531645,50.63291139240506,40.50632911392405
蒲田7,kakuban,13,dd,plus,8,8,390,270.2564102564103,41.28205128205128,32.56410256410256
蒲田7,kakuban,13,dd,plus,9,9,384,200.52083333333334,39.84375,31.510416666666668
蒲田7,kakuban,13,dd,plus,10,10,390,289.2307692307692,43.58974358974359,34.1025641025641
蒲田7,kakuban,13,dd,plus,11,11,393,36.6412213740458,42.23918575063613,31.297709923664126
蒲田7,kakuban,13,dd,plus,12,12,324,171.60493827160494,37.96296296296296,27.469135802469136
蒲田7,kakuban,13,dd,plus,13,13,384,571.875,45.3125,36.71875
蒲田7,kakuban,13,dd,plus,14,14,392,285.96938775510205,42.3469387755102,30.612244897959183
蒲田7,kakuban,13,dd,plus,15,15,390,180.0,38.97435897435898,29.48717948717949
蒲田7,kakuban,13,dd,plus,16,16,388,407.21649484536084,40.4639175257732,33.50515463917525
蒲田7,kakuban,13,dd,plus,17,17,395,-72.9113924050633,41.265822784810126,30.37974683544304
蒲田7,kakuban,13,dd,plus,18,18,380,185.78947368421052,37.89473684210527,29.47368421052631
蒲田7,kakuban,13,dd,plus,19,19,388,-5.154639175257732,35.56701030927835,27.061855670103093
蒲田7,kakuban,13,dd,plus,20,20,389,80.719794344473,35.732647814910024,28.53470437017995
蒲田7,kakuban,13,dd,plus,21,21,392,689.030612244898,48.97959183673469,39.285714285714285
蒲田7,kakuban,13,dd,plus,22,22,393,17.048346055979643,39.44020356234097,29.770992366412212
蒲田7,kakuban,13,dd,plus,23,23,384,213.02083333333334,39.0625,30.989583333333332
蒲田7,kakuban,13,dd,plus,24,24,381,48.55643044619423,40.94488188976378,31.23359580052493
蒲田7,kakuban,13,dd,plus,25,25,387,190.9560723514212,39.79328165374677,30.490956072351423
蒲田7,kakuban,13,dd,plus,26,26,386,-121.50259067357513,36.26943005181347,27.72020725388601
蒲田7,kakuban,13,dd,plus,27,27,395,203.0379746835443,42.78481012658228,34.177215189873415
蒲田7,kakuban,13,dd,plus,28,28,388,-39.43298969072165,37.88659793814433,31.443298969072163
蒲田7,kakuban,13,dd,plus,29,29,355,-162.25352112676057,36.61971830985916,27.323943661971832
蒲田7,kakuban,13,dd,plus,30,30,359,254.03899721448468,44.28969359331476,33.98328690807799
蒲田7,kakuban,13,dd,plus,31,31,196,288.7755102040816,42.3469387755102,32.142857142857146
蒲田7,kakuban,15,dd,plus,1,1,273,52.014652014652015,43.58974358974359,34.43223443223443
蒲田7,kakuban,15,dd,plus,2,2,272,-111.76470588235294,37.86764705882353,28.676470588235293
蒲田7,kakuban,15,dd,plus,3,3,247,181.3765182186235,43.31983805668016,33.603238866396765
蒲田7,kakuban,15,dd,plus,4,4,246,-32.113821138211385,39.02439024390244,30.89430894308943
蒲田7,kakuban,15,dd,plus,5,5,248,266.93548387096774,39.516129032258064,32.66129032258064
蒲田7,kakuban,15,dd,plus,6,6,248,184.2741935483871,37.096774193548384,31.451612903225808
蒲田7,kakuban,15,dd,plus,7,7,272,119.8529411764706,44.11764705882353,33.82352941176471
蒲田7,kakuban,15,dd,plus,8,8,267,307.11610486891385,42.32209737827715,33.70786516853933
蒲田7,kakuban,15,dd,plus,9,9,264,687.5,42.42424242424242,35.22727272727273
蒲田7,kakuban,15,dd,plus,10,10,269,97.76951672862454,39.405204460966544,32.71375464684015
蒲田7,kakuban,15,dd,plus,11,11,274,147.8102189781022,43.06569343065693,32.11678832116788
蒲田7,kakuban,15,dd,plus,12,12,227,-38.76651982378855,35.24229074889868,27.312775330396477
蒲田7,kakuban,15,dd,plus,13,13,269,299.25650557620816,46.09665427509294,37.174721189591075
蒲田7,kakuban,15,dd,plus,14,14,273,-113.18681318681318,34.43223443223443,29.67032967032967
蒲田7,kakuban,15,dd,plus,15,15,269,156.50557620817844,41.63568773234201,37.174721189591075
蒲田7,kakuban,15,dd,plus,16,16,268,184.70149253731344,40.67164179104478,33.2089552238806
蒲田7,kakuban,15,dd,plus,17,17,274,75.18248175182482,42.33576642335766,33.21167883211679
蒲田7,kakuban,15,dd,plus,18,18,267,160.67415730337078,40.44943820224719,31.46067415730337
蒲田7,kakuban,15,dd,plus,19,19,265,78.11320754716981,37.35849056603773,29.81132075471698
