hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,section,2099-2109,dd,plus,29,29,163,236.19631901840492,40.49079754601227,32.515337423312886
蒲田1,section,2099-2109,dd,plus,30,30,164,566.4634146341464,50.609756097560975,42.68292682926829
蒲田1,section,2099-2109,dd,plus,31,31,99,176.76767676767676,40.4040404040404,34.34343434343434
蒲田1,section,2060-2076,dd,plus,1,1,311,641.1575562700965,47.58842443729904,41.157556270096464
蒲田1,section,2060-2076,dd,plus,2,2,308,-23.7012987012987,34.74025974025974,30.1948051948052
蒲田1,section,2060-2076,dd,plus,3,3,297,132.996632996633,38.04713804713805,33.33333333333333
蒲田1,section,2060-2076,dd,plus,4,4,285,-67.01754385964912,32.631578947368425,27.719298245614034
蒲田1,section,2060-2076,dd,plus,5,5,294,-90.1360544217687,35.374149659863946,29.591836734693878
蒲田1,section,2060-2076,dd,plus,6,6,289,204.49826989619376,35.294117647058826,30.44982698961938
蒲田1,section,2060-2076,dd,plus,7,7,303,-11.881188118811881,43.56435643564357,35.973597359735976
蒲田1,section,2060-2076,dd,plus,8,8,291,38.487972508591064,36.769759450171826,32.64604810996563
蒲田1,section,2060-2076,dd,plus,9,9,293,292.15017064846415,42.32081911262799,37.54266211604095
蒲田1,section,2060-2076,dd,plus,10,10,302,382.11920529801324,44.03973509933775,38.41059602649007
蒲田1,section,2060-2076,dd,plus,11,11,301,838.8704318936877,53.48837209302325,45.84717607973422
蒲田1,section,2060-2076,dd,plus,12,12,279,-285.3046594982079,31.899641577060933,28.31541218637993
蒲田1,section,2060-2076,dd,plus,13,13,293,136.51877133105802,40.61433447098976,34.129692832764505
蒲田1,section,2060-2076,dd,plus,14,14,289,-175.0865051903114,33.910034602076124,28.373702422145332
蒲田1,section,2060-2076,dd,plus,15,15,275,-0.36363636363636365,33.09090909090909,26.90909090909091
蒲田1,section,2060-2076,dd,plus,16,16,281,-318.8612099644128,32.028469750889684,26.690391459074732
蒲田1,section,2060-2076,dd,plus,17,17,299,275.25083612040135,41.1371237458194,35.45150501672241
蒲田1,section,2060-2076,dd,plus,18,18,270,198.14814814814815,41.11111111111111,38.148148148148145
蒲田1,section,2060-2076,dd,plus,19,19,270,162.96296296296296,35.18518518518518,31.851851851851855
蒲田1,section,2060-2076,dd,plus,20,20,273,-212.0879120879121,32.6007326007326,28.93772893772894
蒲田1,section,2060-2076,dd,plus,21,21,277,217.32851985559566,43.32129963898917,32.49097472924188
蒲田1,section,2060-2076,dd,plus,22,22,275,260.0,40.0,34.909090909090914
蒲田1,section,2060-2076,dd,plus,23,23,272,-166.91176470588235,33.455882352941174,29.044117647058826
蒲田1,section,2060-2076,dd,plus,24,24,264,66.66666666666667,35.60606060606061,32.57575757575758
蒲田1,section,2060-2076,dd,plus,25,25,266,-119.54887218045113,37.96992481203007,31.954887218045116
蒲田1,section,2060-2076,dd,plus,26,26,263,91.63498098859316,39.543726235741445,34.60076045627377
蒲田1,section,2060-2076,dd,plus,27,27,282,117.73049645390071,38.297872340425535,30.49645390070922
蒲田1,section,2060-2076,dd,plus,28,28,273,-87.91208791208791,30.76923076923077,29.67032967032967
蒲田1,section,2060-2076,dd,plus,29,29,238,-26.89075630252101,35.294117647058826,30.252100840336134
蒲田1,section,2060-2076,dd,plus,30,30,241,-75.93360995850622,35.684647302904565,29.045643153526974
蒲田1,section,2060-2076,dd,plus,31,31,146,617.1232876712329,44.52054794520548,39.04109589041096
蒲田1,section,2236-2255,dd,plus,1,1,377,260.7427055702918,45.88859416445623,29.44297082228117
蒲田1,section,2236-2255,dd,plus,2,2,377,-48.0106100795756,37.93103448275862,20.954907161803714
蒲田1,section,2236-2255,dd,plus,3,3,358,44.97206703910614,42.45810055865922,25.69832402234637
蒲田1,section,2236-2255,dd,plus,4,4,356,-12.92134831460674,38.764044943820224,23.876404494382022
蒲田1,section,2236-2255,dd,plus,5,5,359,55.710306406685234,44.28969359331476,28.969359331476323
蒲田1,section,2236-2255,dd,plus,6,6,359,144.01114206128133,42.33983286908078,30.08356545961003
蒲田1,section,2236-2255,dd,plus,7,7,359,195.8217270194986,49.58217270194986,31.47632311977716
蒲田1,section,2236-2255,dd,plus,8,8,357,34.45378151260504,42.016806722689076,24.92997198879552
蒲田1,section,2236-2255,dd,plus,9,9,359,18.662952646239553,38.440111420612816,21.72701949860724
蒲田1,section,2236-2255,dd,plus,10,10,358,141.34078212290504,45.2513966480447,28.49162011173184
蒲田1,section,2236-2255,dd,plus,11,11,359,251.81058495821728,45.12534818941504,28.690807799442897
蒲田1,section,2236-2255,dd,plus,12,12,339,56.04719764011799,40.707964601769916,26.548672566371685
蒲田1,section,2236-2255,dd,plus,13,13,358,304.46927374301674,44.97206703910614,29.608938547486037
蒲田1,section,2236-2255,dd,plus,14,14,357,9.803921568627452,38.095238095238095,24.92997198879552
蒲田1,section,2236-2255,dd,plus,15,15,359,25.069637883008358,42.33983286908078,25.62674094707521
蒲田1,section,2236-2255,dd,plus,16,16,356,-35.674157303370784,37.359550561797754,20.224719101123593
蒲田1,section,2236-2255,dd,plus,17,17,360,98.88888888888889,45.27777777777778,25.27777777777778
蒲田1,section,2236-2255,dd,plus,18,18,336,-25.595238095238095,34.226190476190474,23.214285714285715
蒲田1,section,2236-2255,dd,plus,19,19,337,-51.632047477744806,36.795252225519285,24.92581602373887
蒲田1,section,2236-2255,dd,plus,20,20,339,-25.36873156342183,35.9882005899705,21.828908554572273
蒲田1,section,2236-2255,dd,plus,21,21,339,277.87610619469024,46.607669616519175,30.08849557522124
蒲田1,section,2236-2255,dd,plus,22,22,339,74.63126843657817,44.54277286135693,25.958702064896755
蒲田1,section,2236-2255,dd,plus,23,23,339,81.12094395280236,40.41297935103245,22.418879056047196
蒲田1,section,2236-2255,dd,plus,24,24,339,-8.55457227138643,33.92330383480826,21.533923303834808
蒲田1,section,2236-2255,dd,plus,25,25,338,72.7810650887574,41.42011834319527,25.7396449704142
蒲田1,section,2236-2255,dd,plus,26,26,339,-79.64601769911505,36.283185840707965,21.238938053097346
蒲田1,section,2236-2255,dd,plus,27,27,340,210.0,45.294117647058826,31.76470588235294
蒲田1,section,2236-2255,dd,plus,28,28,335,58.80597014925373,41.19402985074627,24.776119402985074
