island,section,last_digit,period,xday_mean,period_mean,deviation,global_mean,deviation_vs_global,n_xday_records,n_period_records
AT島,591-607,4,旧店長2026前半,555.6521739130435,243.7239819004525,311.928192012591,188.0924623115578,367.5597116014857,46,221
AT島,591-607,5,旧店長2026前半,847.3541666666666,-247.11764705882354,1094.4718137254902,-49.448579823702254,896.8027464903689,48,238
AT島,591-607,6,旧店長2026前半,305.6666666666667,159.83333333333334,145.83333333333334,192.9171597633136,112.74950690335308,48,234
AT島,591-607,7,旧店長2026前半,-196.47916666666666,-46.22268907563025,-150.2564775910364,84.18093385214007,-280.66010051880676,48,238
AT島,591-607,8,旧店長2026前半,89.66666666666667,125.95798319327731,-36.29131652661064,150.96245059288538,-61.295783926218704,24,119
AT島,591-607,9,旧店長2026前半,584.875,52.09166666666667,532.7833333333333,300.6861598440546,284.1888401559454,24,120
AT島,608-623,0,旧店長2026前半,-475.7708333333333,-381.7949790794979,-93.9758542538354,-90.90891283055828,-384.86192050277504,48,239
AT島,608-623,1,旧店長2026前半,466.125,-80.41350210970464,546.5385021097046,86.98294884653961,379.1420511534604,48,237
AT島,608-623,2,旧店長2026前半,15.6875,8.0,7.6875,-5.792168674698795,21.479668674698793,48,237
AT島,608-623,3,旧店長2026前半,331.375,138.36796536796535,193.00703463203465,-15.3996003996004,346.7746003996004,48,231
AT島,608-623,4,旧店長2026前半,94.20833333333333,-298.64406779661016,392.8524011299435,21.921722113502934,72.28661121983039,24,118
AT島,608-623,5,旧店長2026前半,-688.625,-226.8125,-461.8125,-118.65853658536585,-569.9664634146342,24,112
AT島,608-623,6,旧店長2026前半,-696.5,-503.4234234234234,-193.0765765765766,-224.81159420289856,-471.68840579710144,24,111
AT島,608-623,7,旧店長2026前半,147.125,-13.373831775700934,160.49883177570092,-125.93456032719837,273.05956032719837,24,107
AT島,608-623,8,旧店長2026前半,909.7708333333334,26.857142857142858,882.9136904761905,-133.4037886340977,1043.174621967431,48,231
AT島,608-623,9,旧店長2026前半,381.0,90.70464135021098,290.295358649789,26.285854616895875,354.7141453831041,48,237
AT島,624-640,0,旧店長2026前半,-667.2083333333334,-158.37021276595743,-508.83812056737594,-162.1976401179941,-505.0106932153393,48,235
AT島,624-640,1,旧店長2026前半,-535.25,-34.1965811965812,-501.0534188034188,-127.29191321499013,-407.95808678500987,24,117
AT島,624-640,2,旧店長2026前半,-473.7083333333333,-255.0677966101695,-218.64053672316382,-254.3208661417323,-219.38746719160102,24,118
AT島,624-640,3,旧店長2026前半,395.3333333333333,456.2155172413793,-60.88218390804599,-128.70669291338584,524.0400262467192,24,116
AT島,624-640,4,旧店長2026前半,-636.0833333333334,-114.02991452991454,-522.0534188034188,-128.81522842639595,-507.2681049069374,48,234
AT島,624-640,5,旧店長2026前半,311.6595744680851,94.85152838427948,216.80804608380564,-255.44353182751541,567.1031062956006,47,229
AT島,624-640,6,旧店長2026前半,-85.27083333333333,-113.22421524663677,27.953381913303446,-238.3211752786221,153.05034194528878,48,223
AT島,624-640,7,旧店長2026前半,657.5625,-158.43881856540085,816.0013185654009,-46.52,704.0825,48,237
AT島,624-640,8,旧店長2026前半,-190.77083333333334,-265.780701754386,75.00986842105263,-30.53211009174312,-160.2387232415902,48,228
AT島,624-640,9,旧店長2026前半,144.77083333333334,-18.235042735042736,163.00587606837607,-109.54091816367266,254.31175149700601,48,234
AT島,501-522,0,新店長2026/5-,-25.583333333333332,-176.55172413793105,150.9683908045977,104.17564870259481,-129.75898203592814,12,58
AT島,501-522,1,新店長2026/5-,55.44444444444444,459.4943820224719,-404.0499375780274,40.72007848266841,14.72436596177603,18,89
AT島,501-522,2,新店長2026/5-,1750.2777777777778,546.7888888888889,1203.488888888889,-23.576094056172437,1773.8538718339503,18,90
AT島,501-522,3,新店長2026/5-,1164.9166666666667,590.3833333333333,574.5333333333334,88.82381889763779,1076.092847769029,12,60
AT島,501-522,4,新店長2026/5-,31.333333333333332,148.6,-117.26666666666667,167.10344827586206,-135.77011494252872,12,60
AT島,501-522,5,新店長2026/5-,-142.25,681.8833333333333,-824.1333333333333,21.41906653426018,-163.66906653426017,12,60
AT島,501-522,6,新店長2026/5-,-870.7272727272727,447.92727272727274,-1318.6545454545455,145.2082494969819,-1015.9355222242547,11,55
AT島,501-522,7,新店長2026/5-,-396.1666666666667,-89.01666666666667,-307.15000000000003,-72.48597194388778,-323.6806947227789,12,60
AT島,501-522,8,新店長2026/5-,836.0833333333334,166.28333333333333,669.8000000000001,-27.229083665338646,863.312416998672,12,60
AT島,501-522,9,新店長2026/5-,775.5833333333334,-118.57627118644068,894.159604519774,-105.22487562189055,880.8082089552239,12,59
