island,section,last_digit,dd,dd_mean,global_mean,deviation_dd,n_records
AT島,501-522,8,21,575.3939393939394,-27.229083665338646,602.623023059278,33
AT島,501-522,8,22,-67.3529411764706,-27.229083665338646,-40.123857511131945,34
AT島,501-522,8,23,-524.5757575757576,-27.229083665338646,-497.346673910419,33
AT島,501-522,8,24,515.3823529411765,-27.229083665338646,542.6114366065151,34
AT島,501-522,8,25,-772.6060606060606,-27.229083665338646,-745.376976940722,33
AT島,501-522,8,26,-110.8125,-27.229083665338646,-83.58341633466135,32
AT島,501-522,8,27,292.6470588235294,-27.229083665338646,319.876142488868,34
AT島,501-522,8,28,-334.65625,-27.229083665338646,-307.42716633466136,32
AT島,501-522,8,29,-510.6896551724138,-27.229083665338646,-483.46057150707514,29
AT島,501-522,8,30,-538.7777777777778,-27.229083665338646,-511.5486941124392,27
AT島,501-522,8,31,-429.05882352941177,-27.229083665338646,-401.82973986407313,17
AT島,501-522,9,1,-1094.8484848484848,-105.22487562189055,-989.6236092265942,33
AT島,501-522,9,2,-1199.25,-105.22487562189055,-1094.0251243781095,32
AT島,501-522,9,3,478.05882352941177,-105.22487562189055,583.2836991513024,34
AT島,501-522,9,4,761.2941176470588,-105.22487562189055,866.5189932689493,34
AT島,501-522,9,5,213.08333333333334,-105.22487562189055,318.3082089552239,36
AT島,501-522,9,6,-489.03125,-105.22487562189055,-383.80637437810947,32
AT島,501-522,9,7,-1064.3823529411766,-105.22487562189055,-959.157477319286,34
AT島,501-522,9,8,-609.0882352941177,-105.22487562189055,-503.86335967222715,34
AT島,501-522,9,9,-32.72727272727273,-105.22487562189055,72.49760289461781,33
AT島,501-522,9,10,-577.5882352941177,-105.22487562189055,-472.36335967222715,34
AT島,501-522,9,11,353.0,-105.22487562189055,458.22487562189053,34
AT島,501-522,9,12,957.2727272727273,-105.22487562189055,1062.4976028946178,33
AT島,501-522,9,13,-23.87878787878788,-105.22487562189055,81.34608774310267,33
AT島,501-522,9,14,253.91176470588235,-105.22487562189055,359.1366403277729,34
AT島,501-522,9,15,-588.1875,-105.22487562189055,-482.96262437810947,32
AT島,501-522,9,16,-16.5,-105.22487562189055,88.72487562189055,32
AT島,501-522,9,17,-19.470588235294116,-105.22487562189055,85.75428738659643,34
AT島,501-522,9,18,-317.8529411764706,-105.22487562189055,-212.62806555458008,34
AT島,501-522,9,19,-67.52941176470588,-105.22487562189055,37.69546385718466,34
AT島,501-522,9,20,17.424242424242426,-105.22487562189055,122.64911804613297,33
AT島,501-522,9,21,264.258064516129,-105.22487562189055,369.48294013801956,31
AT島,501-522,9,22,-191.11764705882354,-105.22487562189055,-85.89277143693299,34
