island,section,last_digit,best_dd,best_deviation,worst_dd,worst_deviation,dd_spread
AT島,608-623,0,31,1032.5200239416695,2,-732.1204989341476,1764.6405228758172
バラエティ島,701-711,6,30,1128.1712898751734,18,-630.0513992004569,1758.2226890756303
バラエティ島,692-700,7,4,1052.805663587749,15,-701.4369834710744,1754.2426470588234
AT島,624-640,9,24,876.3938593401433,4,-871.047317130445,1747.4411764705883
バラエティ島,701-711,2,7,1105.0233445047961,2,-638.2119496128511,1743.2352941176473
AT島,624-640,4,27,905.0211107793372,20,-828.6553598088982,1733.6764705882354
バラエティ島,745-755,8,17,887.2058823529412,29,-839.778431372549,1726.9843137254902
AT島,591-607,3,4,886.3696405870796,20,-824.1891829423322,1710.5588235294117
AT島,540-556,3,7,1026.1413854882055,11,-669.1393631748961,1695.2807486631016
AT島,501-522,1,14,961.6132548506649,9,-722.0057927683828,1683.6190476190477
AT島,624-640,5,3,888.8374712214547,24,-767.0564681724845,1655.8939393939393
AT島,608-623,2,9,889.3509922041105,6,-740.5626700349786,1629.9136622390893
バラエティ島,701-711,7,29,580.337216828479,10,-1010.7019988577956,1591.0392156862745
バラエティ島,745-755,1,31,902.5169660678642,16,-679.9830339321358,1582.5
AT島,540-556,0,14,787.1741363211952,31,-790.0873015873016,1577.2614379084966
バラエティ島,712-722,1,14,950.3860651056539,15,-617.7315819531697,1568.1176470588234
AT島,557-573,1,9,965.7692941499588,21,-600.2984420354244,1566.0677361853832
バラエティ島,692-700,5,24,916.3478869653768,29,-645.2896130346232,1561.6375
バラエティ島,723-733,8,14,1120.2228198672467,31,-435.770644185041,1555.9934640522877
AT島,624-640,8,24,932.7379924446843,28,-589.3163747567418,1522.054367201426
ジャグラー島,641-657,8,7,955.2669331810393,30,-532.1700416088765,1487.436974789916
バラエティ島,745-755,5,14,680.5557819225252,1,-769.650100430416,1450.2058823529412
バラエティ島,734-744,9,17,851.1426613363792,6,-594.5632210165619,1445.705882352941
バラエティ島,745-755,0,4,812.4053365676167,20,-629.7123104912068,1442.1176470588234
バラエティ島,701-711,3,9,860.9979115906718,21,-579.3550295857988,1440.3529411764707
