hall,dd,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
レイトギャップ,15,True,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,bt,18,22.22222222222222,25.78125,-3.5590277777777786,57,56,1.0,1.0,False
レイトギャップ,15,True,バイオハザード RE:2,other,11,27.27272727272727,30.864197530864196,-3.591470258136926,58,55,1.0,1.0,False
レイトギャップ,15,True,わたしの幸せな結婚,other,18,22.22222222222222,25.987525987525988,-3.7653037653037664,59,54,1.0,1.0,False
レイトギャップ,15,True,スマスロ炎炎ノ消防隊,other,59,25.423728813559322,29.2436974789916,-3.8199686654322775,60,53,0.5694424794882166,0.9965243391043791,False
レイトギャップ,15,True, サラリーマン金太郎,other,8,25.0,28.825622775800714,-3.8256227758007135,61,52,1.0,1.0,False
レイトギャップ,15,True,スマスロ秘宝伝,other,14,21.428571428571427,25.354969574036513,-3.926398145465086,62,51,1.0,1.0,False
レイトギャップ,15,True,東京喰種,other,134,31.343283582089555,35.71259749468211,-4.369313912592553,63,50,0.32172606052769465,0.9173560355112615,False
レイトギャップ,15,True,モンキーターンV,other,192,26.041666666666668,30.417560653573194,-4.375893986906526,64,49,0.18353520941504153,0.9173560355112615,False
レイトギャップ,15,True,甲鉄城のカバネリ 海門(うなと)決戦,other,32,25.0,29.935622317596568,-4.935622317596568,65,48,0.7001526728042549,1.0,False
レイトギャップ,15,True,沖ドキ!BLACK,oki,127,37.00787401574803,41.949934123847164,-4.942060108099135,66,47,0.28083664722873325,0.9173560355112615,False
レイトギャップ,15,True,ファンキージャグラー2,jug,150,19.333333333333332,24.537236332328884,-5.203902998995552,67,46,0.13093391492504378,0.8195009716128527,False
レイトギャップ,15,True,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,other,12,25.0,30.878859857482183,-5.878859857482183,68,45,0.764964613801452,1.0,False
レイトギャップ,15,True,かぐや様は告らせたい,other,147,25.170068027210885,31.34262331342623,-6.172555286215346,69,44,0.10981924987111163,0.8195009716128527,False
レイトギャップ,15,True,咲‐Saki‐ 頂上決戦,other,18,22.22222222222222,28.793774319066145,-6.571552096843924,70,43,0.6138982388686187,1.0,False
レイトギャップ,15,True,ミリオンゴッド‐神々の軌跡‐,other,15,20.0,26.666666666666668,-6.666666666666668,71,42,0.7723438730062375,1.0,False
