target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_blend_weight,segment_models_used,segment_prediction_rows
is_top_5,0.06944444444444445,1.0,0.12987012987012989,0.0,0.0,0.0,0.0,72,0.06944444444444445,2026-05-03,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.02127659574468085,1.0,0.04166666666666667,1.0,1.0,1.0,1.0,47,0.013888888888888888,2026-05-04,2026-05,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.037037037037037035,0.5,0.06896551724137931,1.0,1.0,1.0,1.0,27,0.027777777777777776,2026-05-04,2026-05,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.046511627906976744,0.6666666666666666,0.08695652173913045,0.0,0.0,0.0,0.0,43,0.041666666666666664,2026-05-04,2026-05,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.08333333333333333,0.6,0.14634146341463414,0.0,0.0,0.0,0.0,36,0.06944444444444445,2026-05-04,2026-05,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.013888888888888888,1.0,0.0273972602739726,0.0,0.0,0.0,0.0,72,0.013888888888888888,2026-05-05,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.02857142857142857,1.0,0.05555555555555556,0.0,0.0,0.0,0.0,70,0.027777777777777776,2026-05-05,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.05128205128205128,0.6666666666666666,0.09523809523809523,0.0,0.0,0.0,0.0,39,0.041666666666666664,2026-05-05,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.1,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,20,0.06944444444444445,2026-05-05,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.05263157894736842,1.0,0.1,0.0,1.0,1.0,1.0,19,0.013888888888888888,2026-05-06,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.04,1.0,0.07692307692307693,0.0,1.0,1.0,1.0,50,0.027777777777777776,2026-05-06,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.11764705882352941,0.6666666666666666,0.2,1.0,1.0,1.0,1.0,17,0.041666666666666664,2026-05-06,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.06944444444444445,1.0,0.12987012987012989,0.0,1.0,1.0,1.0,72,0.06944444444444445,2026-05-06,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.016129032258064516,1.0,0.031746031746031744,0.0,0.0,0.0,0.0,62,0.013888888888888888,2026-05-07,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.03076923076923077,1.0,0.059701492537313446,0.0,0.0,0.0,0.0,65,0.027777777777777776,2026-05-07,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.04225352112676056,1.0,0.08108108108108109,0.0,0.0,0.0,0.0,71,0.041666666666666664,2026-05-07,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.06944444444444445,1.0,0.12987012987012989,0.0,0.0,0.0,0.0,72,0.06944444444444445,2026-05-07,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.022727272727272728,1.0,0.044444444444444446,0.0,0.0,0.0,0.0,44,0.013888888888888888,2026-05-08,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.025,0.5,0.047619047619047616,0.0,0.0,0.0,0.0,40,0.027777777777777776,2026-05-08,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.043478260869565216,0.6666666666666666,0.08163265306122448,0.0,0.0,0.0,0.0,46,0.041666666666666664,2026-05-08,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.08333333333333333,0.4,0.13793103448275862,0.0,0.0,0.0,0.0,24,0.06944444444444445,2026-05-08,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.022222222222222223,1.0,0.04347826086956522,0.0,0.0,0.0,0.0,45,0.013888888888888888,2026-05-09,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.027777777777777776,2026-05-09,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.05263157894736842,0.3333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,19,0.041666666666666664,2026-05-09,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.07017543859649122,0.8,0.12903225806451613,0.0,1.0,1.0,1.0,57,0.06944444444444445,2026-05-09,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.014705882352941176,1.0,0.028985507246376812,0.0,0.0,0.0,0.0,68,0.013888888888888888,2026-05-10,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.1,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,20,0.027777777777777776,2026-05-10,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.05263157894736842,0.6666666666666666,0.09756097560975609,0.0,0.0,0.0,0.0,38,0.041666666666666664,2026-05-10,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.08333333333333333,0.6,0.14634146341463414,0.0,0.0,0.0,0.0,36,0.06944444444444445,2026-05-10,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.014705882352941176,1.0,0.028985507246376812,0.0,0.0,0.0,0.0,68,0.014705882352941176,2026-05-11,2026-05,Monday,0,0.5,68,72,68,4,0.9444444444444444,0.0,sgd,cpu,floor2,0.5,2,68
is_top_2,0.03125,0.5,0.058823529411764705,0.0,0.0,0.0,0.0,32,0.029411764705882353,2026-05-11,2026-05,Monday,0,0.5,68,72,68,4,0.9444444444444444,0.0,sgd,cpu,floor2,0.5,2,68
is_top_3,0.04411764705882353,1.0,0.08450704225352113,1.0,1.0,1.0,1.0,68,0.04411764705882353,2026-05-11,2026-05,Monday,0,0.0,68,72,68,4,0.9444444444444444,0.0,sgd,cpu,floor2,0.5,2,68
is_top_5,0.07352941176470588,1.0,0.13698630136986303,0.0,0.0,1.0,1.0,68,0.07352941176470588,2026-05-11,2026-05,Monday,0,0.0,68,72,68,4,0.9444444444444444,0.0,sgd,cpu,floor2,0.5,2,68
is_rank_1,0.08333333333333333,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,12,0.013888888888888888,2026-05-12,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.029850746268656716,1.0,0.05797101449275362,0.0,0.0,1.0,1.0,67,0.027777777777777776,2026-05-12,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
