target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_models_used,segment_prediction_rows
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06944444444444445,2026-05-13,2026-05,Wednesday,0,0.19506150484085083,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-14,2026-05,Thursday,1,0.19552886486053467,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.027777777777777776,2026-05-14,2026-05,Thursday,1,0.14470788836479187,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.041666666666666664,2026-05-14,2026-05,Thursday,1,0.16007086634635925,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.2,0.2,0.20000000000000004,0.0,0.0,1.0,1.0,5,0.06944444444444445,2026-05-14,2026-05,Thursday,1,0.18872873485088348,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-15,2026-05,Friday,0,0.1483965665102005,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027777777777777776,2026-05-15,2026-05,Friday,0,0.15341134369373322,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.041666666666666664,2026-05-15,2026-05,Friday,0,0.1593022346496582,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.06944444444444445,2026-05-15,2026-05,Friday,0,0.1940579116344452,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-16,2026-05,Saturday,0,0.16759248077869415,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027777777777777776,2026-05-16,2026-05,Saturday,0,0.15355856716632843,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-05-16,2026-05,Saturday,0,0.16304843127727509,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
