date,machine_number,machine_name,games,diff,payout,day_baseline,edge,pool_size,universe_size
20251113,3178,ゴーゴージャグラー3,3346,-200,0.9800757122932855,156.55737704918033,-356.55737704918033,122,122
20251113,3184,ゴーゴージャグラー3,1047,0,1.0,156.55737704918033,-156.55737704918033,122,122
20251113,3189,ゴーゴージャグラー3,2591,2200,1.2830310047600668,156.55737704918033,2043.4426229508197,122,122
20251114,3178,ゴーゴージャグラー3,1944,-800,0.8628257887517147,194.5578231292517,-994.5578231292517,147,147
20251114,3184,ゴーゴージャグラー3,2668,-1100,0.862568715642179,194.5578231292517,-1294.5578231292516,147,147
20251114,3188,ゴーゴージャグラー3,2988,-200,0.9776885319053994,194.5578231292517,-394.5578231292517,147,147
20251115,3178,ゴーゴージャグラー3,2835,-500,0.9412110523221634,371.1764705882353,-871.1764705882354,170,170
20251115,3184,ゴーゴージャグラー3,7769,100,1.004290556485176,371.1764705882353,-271.1764705882353,170,170
20251115,3189,ゴーゴージャグラー3,6480,800,1.0411522633744856,371.1764705882353,428.8235294117647,170,170
20251116,3179,ゴーゴージャグラー3,3166,900,1.094756790903348,345.5621301775148,554.4378698224853,169,169
20251116,3184,ゴーゴージャグラー3,5267,-200,0.9873425732548573,345.5621301775148,-545.5621301775147,169,169
20251116,3189,ゴーゴージャグラー3,4640,-500,0.9640804597701149,345.5621301775148,-845.5621301775147,169,169
20251117,3184,ゴーゴージャグラー3,3407,400,1.0391351139810194,403.50877192982455,-3.5087719298245474,171,171
20251117,3189,ゴーゴージャグラー3,1701,400,1.0783852635704487,403.50877192982455,-3.5087719298245474,171,171
20251117,3335,アイムジャグラーEX-TP,4207,300,1.0237699072973616,403.50877192982455,-103.50877192982455,171,171
20251118,3179,ゴーゴージャグラー3,2370,-400,0.9437412095639943,91.89189189189189,-491.8918918918919,148,148
20251118,3184,ゴーゴージャグラー3,2310,-300,0.9567099567099567,91.89189189189189,-391.8918918918919,148,148
20251118,3189,ゴーゴージャグラー3,5409,-1800,0.8890737659456461,91.89189189189189,-1891.8918918918919,148,148
20251119,3179,ゴーゴージャグラー3,7890,300,1.0126742712294043,221.52777777777777,78.47222222222223,144,144
20251119,3184,ゴーゴージャグラー3,7852,2800,1.118865681779589,221.52777777777777,2578.472222222222,144,144
20251119,3189,ゴーゴージャグラー3,5562,300,1.0179791441927364,221.52777777777777,78.47222222222223,144,144
20251120,3178,ゴーゴージャグラー3,3677,-600,0.945607832472124,119.25925925925925,-719.2592592592592,135,135
20251120,3184,ゴーゴージャグラー3,1086,-800,0.7544505831798649,119.25925925925925,-919.2592592592592,135,135
20251120,3189,ゴーゴージャグラー3,5624,0,1.0,119.25925925925925,-119.25925925925925,135,135
20251121,3172,ゴーゴージャグラー3,4094,-1100,0.9104380394072626,429.3706293706294,-1529.3706293706293,143,143
20251121,3178,ゴーゴージャグラー3,3080,-200,0.9783549783549783,429.3706293706294,-629.3706293706293,143,143
20251121,3189,ゴーゴージャグラー3,4165,500,1.040016006402561,429.3706293706294,70.62937062937061,143,143
20251122,3178,ゴーゴージャグラー3,1838,-500,0.9093217265143272,-34.30232558139535,-465.69767441860466,172,172
20251122,3184,ゴーゴージャグラー3,6418,0,1.0,-34.30232558139535,34.30232558139535,172,172
20251122,3189,ゴーゴージャグラー3,3646,-500,0.9542878039861035,-34.30232558139535,-465.69767441860466,172,172
20251123,3178,ゴーゴージャグラー3,2460,-600,0.9186991869918699,63.905325443786985,-663.905325443787,169,169
20251123,3184,ゴーゴージャグラー3,3719,-600,0.9462221027157838,63.905325443786985,-663.905325443787,169,169
20251123,3189,ゴーゴージャグラー3,5735,1000,1.0581226387678,63.905325443786985,936.094674556213,169,169
20251124,3174,ゴーゴージャグラー3,4925,-1800,0.8781725888324873,110.36585365853658,-1910.3658536585365,164,164
20251124,3184,ゴーゴージャグラー3,7290,500,1.022862368541381,110.36585365853658,389.6341463414634,164,164
20251124,3335,アイムジャグラーEX-TP,3764,700,1.0619907899397805,110.36585365853658,589.6341463414634,164,164
20251125,3172,ゴーゴージャグラー3,2210,-900,0.8642533936651584,105.4421768707483,-1005.4421768707483,147,147
20251125,3184,ゴーゴージャグラー3,1599,-200,0.9583072753804461,105.4421768707483,-305.4421768707483,147,147
20251125,3189,ゴーゴージャグラー3,6326,1800,1.094846664558963,105.4421768707483,1694.5578231292518,147,147
20251126,3172,ゴーゴージャグラー3,7173,800,1.0371764487197361,207.89473684210526,592.1052631578948,152,152
20251126,3174,ゴーゴージャグラー3,4463,-600,0.9551870938830384,207.89473684210526,-807.8947368421052,152,152
20251126,3189,ゴーゴージャグラー3,5994,1400,1.077855633411189,207.89473684210526,1192.1052631578948,152,152
20251127,3172,ゴーゴージャグラー3,6008,-200,0.9889036839769196,4.216867469879518,-204.21686746987953,166,166
20251127,3174,ゴーゴージャグラー3,1315,-400,0.8986058301647655,4.216867469879518,-404.2168674698795,166,166
20251127,3189,ゴーゴージャグラー3,6059,1900,1.1045276998404576,4.216867469879518,1895.7831325301204,166,166
20251128,3174,ゴーゴージャグラー3,3868,1400,1.1206480523957256,42.567567567567565,1357.4324324324325,148,148
20251128,3179,ゴーゴージャグラー3,1320,-1200,0.696969696969697,42.567567567567565,-1242.5675675675675,148,148
20251128,3189,ゴーゴージャグラー3,2961,500,1.0562872903298435,42.567567567567565,457.43243243243245,148,148
20251129,3172,ゴーゴージャグラー3,5438,-600,0.9632217727105553,0.5847953216374269,-600.5847953216374,171,171
20251129,3184,ゴーゴージャグラー3,4859,1100,1.0754613432119091,0.5847953216374269,1099.4152046783627,171,171
20251129,3189,ゴーゴージャグラー3,3720,-400,0.96415770609319,0.5847953216374269,-400.58479532163744,171,171
20251130,3172,ゴーゴージャグラー3,2636,-800,0.8988366211431462,232.16374269005848,-1032.1637426900584,171,171
20251130,3174,ゴーゴージャグラー3,4186,-800,0.9362955884695016,232.16374269005848,-1032.1637426900584,171,171
20251130,3189,ゴーゴージャグラー3,4454,-200,0.9850321808112558,232.16374269005848,-432.1637426900585,171,171
20251201,3172,ゴーゴージャグラー3,2387,-500,0.9301773495321882,189.41176470588235,-689.4117647058823,170,170
20251201,3173,ゴーゴージャグラー3,8273,1500,1.060437567992264,189.41176470588235,1310.5882352941176,170,170
20251201,3189,ゴーゴージャグラー3,5996,0,1.0,189.41176470588235,-189.41176470588235,170,170
20251202,3172,ゴーゴージャグラー3,2019,-600,0.9009410599306588,362.0689655172414,-962.0689655172414,145,145
