date,year,month,day,source,is_event_day,is_grand_opening,kamata7_diff,kamata7_weekday_strategy,kamata7_full_half,kamata1_diff,kamata1_weekday_strategy,kamata1_full_half,kamata7_content,kamata1_content
20260209,2026,2,9,poco,0,0,107300.0,列仕掛け,戦国乙女4,24500.0,列仕掛け,プリズムナナ,列仕掛け、全→戦国乙女4,列仕掛け、全→プリズムナナ
20260210,2026,2,10,poco,0,0,224200.0,角仕掛け,新鬼3、旧北斗、防振り他多数,,- / 角仕掛け（ジャグ10、他11）,不明,角仕掛け、全→新鬼3、ニブ→旧北斗、防振り他多数,- / 角仕掛け（ジャグ10、他11）、全→不明
20260211,2026,2,11,poco,1,0,33800.0,,かぐや様、いざ審判、アズレン他多数,49800.0,,マイジャグ、SBJ、プリズムナナ、SAO,全→かぐや様、いざ審判、アズレン他多数,全→マイジャグ、SBJ、プリズムナナ、SAO
20260212,2026,2,12,poco,0,0,156700.0,変則（3台並び末尾1絡み）,モンハンライズ、ステライト,6100.0,変則（3台並び末尾1絡み）,不明,変則（3台並び末尾1絡み）、全→モンハンライズ、ステライト,変則（3台並び末尾1絡み）、全→不明
20260213,2026,2,13,poco,0,0,50400.0,列イチ以上,ステライト、ウルミラ、天膳,,- / 列イチ以上,不明,列イチ以上、全→ステライト、ウルミラ、天膳,- / 列イチ以上、全→不明
20260214,2026,2,14,poco,0,0,96700.0,並び（末尾6絡み）,ファンキー、秘宝伝、ゾンサガ、ヴヴヴ,,- / 並び（ジャグ1、他5絡み）,ファンキー,並び（末尾6絡み）、全→ファンキー、秘宝伝、ゾンサガ、ヴヴヴ,- / 並び（ジャグ1、他5絡み）、全→ファンキー
20260215,2026,2,15,poco,0,0,,- / 機種イチ以上,不明,52500.0,機種イチ以上,防振り,- / 機種イチ以上、全→不明,機種イチ以上、全→防振り
20260216,2026,2,16,poco,0,0,22000.0,列仕掛け,モンハンライズ、ミスター,,- / 列仕掛け,アズレン,列仕掛け、全→モンハンライズ、ミスター,- / 列仕掛け、全→アズレン
20260217,2026,2,17,poco,1,0,30500.0,,かぐや様、ななつま,159700.0,,ゾンサガ、銭形5、シェイクBT,全→かぐや様、ななつま,全→ゾンサガ、銭形5、シェイクBT
20260218,2026,2,18,poco,0,0,80400.0,末尾（8と0のハーフ）,秘宝伝、ゾンサガ、シャーマン,42600.0,末尾（ジャグ4、他3）,L炎炎2,末尾（8と0のハーフ）、全→秘宝伝、ゾンサガ、シャーマン,末尾（ジャグ4、他3）、全→L炎炎2
20260219,2026,2,19,poco,0,0,162300.0,変則（3台並び末尾4絡み）,SAO、プリズムナナ,,- / 変則（3台並び末尾8絡み）,不明,変則（3台並び末尾4絡み）、全→SAO、プリズムナナ,- / 変則（3台並び末尾8絡み）、全→不明
20260220,2026,2,20,poco,0,0,,- / 列イチ以上,戦国乙女4,,- / 列イチ以上,不明,- / 列イチ以上、全→戦国乙女4,- / 列イチ以上、全→不明
20260221,2026,2,21,poco,1,0,,- / 全→不明,,,- / 全→不明,,- / 全→不明,- / 全→不明
20260222,2026,2,22,poco,1,0,468400.0,,ヴヴ2、炎炎2、天膳他多数,71200.0,並び（ジャグ6、他1絡み）,SBJ,全→2にまつわる機種（ヴヴ2、炎炎2、天膳他多数）,並び（ジャグ6、他1絡み）、全→SBJ
20260223,2026,2,23,poco,0,0,,- / 列仕掛け,防振り,,- / 列仕掛け,秘宝伝,- / 列仕掛け、全→防振り,- / 列仕掛け、全→秘宝伝
20260224,2026,2,24,poco,0,0,59800.0,角（6と8のハーフ）,いざ審判,28200.0,角（ジャグ3、他6）,ななつま,角（6と8のハーフ）、全→いざ審判,角（ジャグ3、他6）、全→ななつま
20260225,2026,2,25,poco,0,0,23900.0,末尾（0と4のハーフ）,東リベ,,- / 末尾（ジャグ9、他2）,他機種,末尾（0と4のハーフ）、全→東リベ,- / 末尾（ジャグ9、他2）、全→他機種
20260226,2026,2,26,poco,0,0,58600.0,変則（3台並び末尾3絡み）,新鬼3、ゾンサガ,,- / 変則（3台並び末尾3or7絡み）,刃牙,変則（3台並び末尾3絡み）、全→新鬼3、ゾンサガ,- / 変則（3台並び末尾3or7絡み）、全→刃牙
20260227,2026,2,27,poco,1,0,,- / 全→モンハン、カバネリ、秘宝伝他多数,,6700.0,,シャーマン、銭形5,- / 全→モンハン、カバネリ、秘宝伝他多数,全→シャーマン、銭形5
20260228,2026,2,28,poco,0,0,369300.0,,マイジャグ、カバネリ、ガルパン,32300.0,,ファンキー、東リベ、銭形5、モンハン他,全→マイジャグ、カバネリ、ガルパン,全→ファンキー、東リベ、銭形5、ニブ→モンハン他
20260301,2026,3,1,poco,1,0,197300.0,,マイジャグ、カバネリ,16800.0,,旧北斗、ToLOVEる他,全→マイジャグ、カバネリ,全→旧北斗、ニブ以上→ToLOVEる他
20260302,2026,3,2,poco,0,0,69600.0,列→モンキー、ToLOVEる〜初代ヴヴヴ,,,- / 列→マイジャグ〜ネオアイム、ニブ以上→Lカバネリ他,,列→モンキー、ToLOVEる〜初代ヴヴヴ,- / 列→マイジャグ〜ネオアイム、ニブ以上→Lカバネリ他
20260303,2026,3,3,poco,1,0,194800.0,,戦国乙女4,118900.0,,ステライト、Lカバネリ、防振り他,全→戦国乙女4,全→ステライト、ニブ以上→Lカバネリ、防振り他
20260304,2026,3,4,poco,0,0,75900.0,末尾→末尾1・6のハーフ,かぐや様,22900.0,末尾→末尾1・2のハーフ,不明,末尾→末尾1・6のハーフ、全→かぐや様,末尾→末尾1・2のハーフ、全→不明
20260305,2026,3,5,poco,0,0,63600.0,,化物語、北斗転生、旧北斗他多数,50300.0,,天膳、シェイクBT、モンキー他,全→化物語、ニブ→北斗転生、旧北斗他多数,全→天膳、シェイクBT、ニブ→モンキー他
20260306,2026,3,6,poco,0,0,36100.0,列イチ以上,モンハンライズ,61200.0,列イチ以上,不明,列イチ以上、全→モンハンライズ,列イチ以上、全→不明
20260307,2026,3,7,poco,1,0,,- / 全→キンハナ、新鬼武者3、沖ドキDUO他,,42000.0,,ToLOVEる、Lカバネリ、ヴヴヴ2他,- / 全→キンハナ、新鬼武者3、沖ドキDUO他,全→ToLOVEる、ニブ→Lカバネリ、ヴヴヴ2他
20260308,2026,3,8,poco,0,0,80200.0,機種イチ以上,旧北斗、SBJ,,- / 機種イチ以上,不明,機種イチ以上、全→旧北斗、SBJ,- / 機種イチ以上、全→不明
20260309,2026,3,9,poco,0,0,,- / 列→マギレコ、超電磁砲2、ヴヴヴ2、喰種,,17100.0,列→東京喰種、ニブ→マギレコ、東リベ、L炎炎2他,,- / 列→マギレコ、超電磁砲2、ヴヴヴ2、喰種,列→東京喰種、ニブ→マギレコ、東リベ、L炎炎2他
20260310,2026,3,10,poco,0,0,,- / 角仕掛け,不明,14300.0,角仕掛け,防振り,- / 角仕掛け、全→不明,角仕掛け、全→防振り
20260311,2026,3,11,poco,1,0,153100.0,,アズレン、からくり,94300.0,,東京喰種、マギレコ、末尾ゾロ目他,全→アズレン、からくり、他多数,全→東京喰種、マギレコ、ニブ→末尾ゾロ目他
20260312,2026,3,12,poco,0,0,30800.0,,からくり、東リベ、いざ審判他,,- / 全→無職転生、ニブ→ヴヴヴ2、鉄拳5他,,全→からくり、ニブ→東リベ、いざ審判他,- / 全→無職転生、ニブ→ヴヴヴ2、鉄拳5他
20260313,2026,3,13,poco,0,0,,- / 列イチ以上,不明,,- / 全→新鬼武者3,,- / 列イチ以上、全→不明,- / 全→新鬼武者3
20260314,2026,3,14,poco,0,0,216600.0,並び→末尾2絡み,SAO、秘宝伝他,50800.0,並び→末尾2絡み,SBJ、刃牙,並び→末尾2絡み、全→SAO、秘宝伝他,並び→末尾2絡み、全→SBJ、刃牙
20260315,2026,3,15,poco,0,0,67700.0,機種イチ以上,アズレン、からくり,,- / 機種イチ以上,SBJ、新鬼3、L炎炎2他,機種イチ以上、全→アズレン、からくり,- / 機種イチ以上、全→SBJ、ニブ→新鬼3、L炎炎2他
20260316,2026,3,16,poco,0,0,190500.0,列→北斗転生、かぐや様〜ヴヴヴ2他,,,- / 列→いざ審判,不明,列→北斗転生、かぐや様〜ヴヴヴ2他,- / 列→いざ審判、全→不明
20260317,2026,3,17,poco,1,0,128500.0,,ヴヴヴ2,,- / 全→新鬼武者3、ニブ→マギレコ、東リベ,,全→ヴヴヴ2,- / 全→新鬼武者3、ニブ→マギレコ、東リベ
20260318,2026,3,18,poco,0,0,,- / 末尾→末尾1・8のハーフ,秘宝伝,6000.0,マルハンアプリデータなし,,- / 末尾→末尾1・8のハーフ、全→秘宝伝,マルハンアプリデータなし
20260319,2026,3,19,poco,0,0,42700.0,,ガルパン、シャーマン、かぐや様他,15900.0,,からくり、Lカバネリ、北斗他,全→ガルパン、シャーマン、ニブ→かぐや様他,全→からくり、ニブ→Lカバネリ、北斗他
20260320,2026,3,20,poco,0,0,5500.0,列イチ以上,ウルミラ、L炎炎2,26900.0,列イチ以上,戦国乙女4、からくり、アズレン他,列イチ以上、全→ウルミラ、L炎炎2,列イチ以上、全→戦国乙女4、からくり、アズレン他
20260321,2026,3,21,poco,1,0,162900.0,,かぐや様、ハッピー、シャーマン,,- / 全→不明,,全→かぐや様、ハッピー、シャーマン,- / 全→不明
20260322,2026,3,22,poco,1,0,,- / 全→不明,,12500.0,,無職転生、天膳他、末尾ゾロ目他,- / 全→不明,全→無職転生、天膳他、ニブ→末尾ゾロ目他
20260323,2026,3,23,poco,0,0,92200.0,列→ヴヴヴ2、東京喰種,天膳,25400.0,列→東京喰種、ハッピー〜ガールズ,,列→ヴヴヴ2、東京喰種、全→天膳,列→東京喰種、ハッピー〜ガールズ
20260324,2026,3,24,poco,0,0,69600.0,角仕掛け,天膳,15000.0,角仕掛け,アズレン,角仕掛け、全→天膳,角仕掛け、全→アズレン
