hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,9,9,25,-112.0,28.000000000000004,24.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,10,10,25,-480.0,24.0,20.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,11,11,25,-440.0,24.0,24.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,13,12,25,444.0,40.0,40.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,14,13,25,-256.0,32.0,32.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,15,14,25,-1060.0,32.0,24.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,16,15,25,-680.0,16.0,16.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,17,16,25,876.0,44.0,40.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,18,17,25,-1264.0,12.0,12.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,19,18,25,-292.0,28.000000000000004,24.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,20,19,50,-940.0,24.0,20.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,21,20,50,-440.0,32.0,30.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,22,21,50,-166.0,30.0,28.000000000000004
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,23,22,50,-1498.0,22.0,20.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,24,23,49,0.0,30.612244897959183,28.57142857142857
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,25,24,50,-1294.0,16.0,14.000000000000002
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,26,25,49,385.7142857142857,34.69387755102041,32.6530612244898
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,27,26,50,-826.0,32.0,24.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,28,27,50,-46.0,24.0,24.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,29,28,50,-712.0,22.0,22.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,30,29,50,1646.0,56.00000000000001,50.0
蒲田7,不二子BT,day_of_week,hit104,月,0,64,-14.0625,35.9375,25.0
蒲田7,不二子BT,day_of_week,hit104,火,1,63,166.66666666666666,39.682539682539684,34.92063492063492
蒲田7,不二子BT,day_of_week,hit104,水,2,64,68.75,35.9375,29.6875
蒲田7,不二子BT,day_of_week,hit104,木,3,61,-114.75409836065573,34.42622950819672,26.229508196721312
蒲田7,不二子BT,day_of_week,hit104,金,4,62,161.29032258064515,41.935483870967744,32.25806451612903
