hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
ヒロキ,アイムジャグラーEX-TP,4799,is_x_day,diff,kruskal,0.00026880830814951165,0.9869189697920094,0.0,4799,2,0.0,
ヒロキ,アイムジャグラーEX-TP,4799,is_x_day,hit104,chi2,0.0251213987961644,0.8740649364056247,0.0,4799,2,,
ヒロキ,アイムジャグラーEX-TP,4799,is_x_day,plus,chi2,0.132404496348485,0.7159518867486232,0.0,4799,2,,
ヒロキ,アズールレーン THE ANIMATION,260,day_of_week,diff,kruskal,11.970076703165292,0.06263969527783976,0.023597141119230402,260,7,0.0,
ヒロキ,アズールレーン THE ANIMATION,260,day_of_week,hit104,chi2,13.017422492533692,0.042760109156270355,0.16433275330825617,260,7,,
ヒロキ,アズールレーン THE ANIMATION,260,day_of_week,plus,chi2,13.734937562792869,0.03274135044646347,0.17255614612451553,260,7,,
ヒロキ,アズールレーン THE ANIMATION,260,dd,diff,kruskal,36.827418222297545,0.1822265817528808,0.029814053372478364,260,31,0.0,
ヒロキ,アズールレーン THE ANIMATION,260,dd,hit104,chi2,26.175081747674923,0.6661655387924359,0.0,260,31,,warning: 61.3% of expected cells are below 5
ヒロキ,アズールレーン THE ANIMATION,260,dd,plus,chi2,33.56042698373302,0.2987450217507684,0.11532475914286718,260,31,,warning: 75.8% of expected cells are below 5
ヒロキ,アズールレーン THE ANIMATION,260,dd_bin,diff,kruskal,2.6394220857243877,0.6198557957897961,0.0,260,5,0.0,
ヒロキ,アズールレーン THE ANIMATION,260,dd_bin,hit104,chi2,3.280086308577013,0.5120935832075915,0.0,260,5,,
ヒロキ,アズールレーン THE ANIMATION,260,dd_bin,plus,chi2,7.585105696031272,0.10801451908672145,0.11739967203751252,260,5,,
ヒロキ,アズールレーン THE ANIMATION,260,is_x_day,diff,kruskal,1.0803997427538015,0.298608148034649,0.00031162690989845526,260,2,0.0,
ヒロキ,アズールレーン THE ANIMATION,260,is_x_day,hit104,chi2,2.6449600895870395e-05,0.9958965635807683,0.0,260,2,,
ヒロキ,アズールレーン THE ANIMATION,260,is_x_day,plus,chi2,0.07396844574944862,0.7856440055031342,0.0,260,2,,
ヒロキ,アレックス ブライト,286,day_of_week,diff,kruskal,4.640471223360601,0.5906798656639229,0.0,286,7,0.0,
ヒロキ,アレックス ブライト,286,day_of_week,hit104,chi2,6.467052748038235,0.3729507568046663,0.03955922087149878,286,7,,
ヒロキ,アレックス ブライト,286,day_of_week,plus,chi2,6.024341460578393,0.42046886721867505,0.0033970417937395007,286,7,,
ヒロキ,アレックス ブライト,286,dd,diff,kruskal,24.033009904555104,0.7705289678416237,0.0,286,31,0.0,
ヒロキ,アレックス ブライト,286,dd,hit104,chi2,27.098690331965262,0.6180841174591943,0.0,286,31,,warning: 51.6% of expected cells are below 5
ヒロキ,アレックス ブライト,286,dd,plus,chi2,27.11454270597127,0.6172501227141434,0.0,286,31,,warning: 53.2% of expected cells are below 5
ヒロキ,アレックス ブライト,286,dd_bin,diff,kruskal,2.277609492764733,0.6848485205126116,0.0,286,5,0.0,
ヒロキ,アレックス ブライト,286,dd_bin,hit104,chi2,6.227643286146181,0.1827805170311263,0.08813139018128498,286,5,,
ヒロキ,アレックス ブライト,286,dd_bin,plus,chi2,4.60567203986146,0.33020073533776056,0.045562536016730125,286,5,,
ヒロキ,アレックス ブライト,286,is_x_day,diff,kruskal,0.08071180684618018,0.7763350999138263,0.0,286,2,0.0,
ヒロキ,アレックス ブライト,286,is_x_day,hit104,chi2,1.1301437046781326,0.2877446884990165,0.02107933983378223,286,2,,
ヒロキ,アレックス ブライト,286,is_x_day,plus,chi2,0.8583433373349338,0.35420271244649026,0.0,286,2,,
ヒロキ,クランキークレスト,475,day_of_week,diff,kruskal,4.648328541267788,0.5896411544156666,0.0,475,7,0.0,
ヒロキ,クランキークレスト,475,day_of_week,hit104,chi2,6.993897431835238,0.32141193025788495,0.04549872654031636,475,7,,
ヒロキ,クランキークレスト,475,day_of_week,plus,chi2,8.256082922531558,0.21993596909877444,0.06879669001278384,475,7,,
ヒロキ,クランキークレスト,475,dd,diff,kruskal,41.163303169700484,0.08422774425704598,0.02514257470653262,475,31,0.0,
ヒロキ,クランキークレスト,475,dd,hit104,chi2,36.73851294781492,0.18488611044113892,0.11867101209694916,475,31,,warning: 45.2% of expected cells are below 5
ヒロキ,クランキークレスト,475,dd,plus,chi2,37.88519563697673,0.1527194972776345,0.12846003919888063,475,31,,
ヒロキ,クランキークレスト,475,dd_bin,diff,kruskal,7.2563484346119935,0.12294578852139983,0.006928400924706369,475,5,0.0,
ヒロキ,クランキークレスト,475,dd_bin,hit104,chi2,4.369074450907681,0.3583553292147882,0.02758329301892045,475,5,,
ヒロキ,クランキークレスト,475,dd_bin,plus,chi2,5.50632032767085,0.23917447597769248,0.05621478130440788,475,5,,
ヒロキ,クランキークレスト,475,is_x_day,diff,kruskal,0.0030857212108678722,0.9557008800701062,0.0,475,2,0.0,
ヒロキ,クランキークレスト,475,is_x_day,hit104,chi2,0.1696157356366182,0.6804535415607487,0.0,475,2,,
ヒロキ,クランキークレスト,475,is_x_day,plus,chi2,0.0004823969268031072,0.9824770423337127,0.0,475,2,,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,day_of_week,diff,kruskal,3.861832134300746,0.6953678381383346,0.0,250,7,0.0,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,day_of_week,hit104,chi2,2.586464568083841,0.8586681717040872,0.0,250,7,,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,day_of_week,plus,chi2,5.756388198873871,0.45102550160471266,0.0,250,7,,
