date,last_digit,is_rank_1,is_top_3,is_top_5,month_progress,day_of_week,day_of_month,days_since_last_rank1,rolling_avg_diff_7d,rolling_avg_diff_14d,rolling_avg_diff_21d,rolling_avg_diff_28d,rolling_avg_diff_35d,rolling_avg_games_7d,rolling_avg_games_14d,rolling_avg_games_21d,rolling_avg_games_28d,rolling_avg_games_35d,rolling_avg_efficiency_7d,rolling_avg_efficiency_14d,rolling_avg_efficiency_21d,rolling_avg_efficiency_28d,rolling_avg_efficiency_35d,rolling_rank_sum_7d,rolling_rank_sum_14d,rolling_rank_sum_21d,dow_lastdigit_rank1_rate,periodicity_strength,prior_week_rank1_rate,prior_same_weekday_rank1_rate
2025-07-11,9,0,0,0,0.32258064,4.0,11.0,0.0,76150.0,76150.0,76150.0,76150.0,76150.0,400752.75,400752.75,400752.75,400752.75,400752.75,0.18694293,0.18694293,0.18694293,0.18694293,0.18694293,31.0,31.0,31.0,0.1,0.03547945,0.0,0.0
2025-07-11,ã‚¾ãƒ­ç›®,0,1,1,0.32258064,4.0,11.0,0.0,101175.0,101175.0,101175.0,101175.0,101175.0,386773.0,386773.0,386773.0,386773.0,386773.0,0.26046333,0.26046333,0.26046333,0.26046333,0.26046333,21.0,21.0,21.0,0.025,0.038751386,0.14285715,0.0
2025-07-12,0,0,0,0,0.3548387,5.0,12.0,0.0,74840.0,74840.0,74840.0,74840.0,74840.0,401660.4,401660.4,401660.4,401660.4,401660.4,0.18312952,0.18312952,0.18312952,0.18312952,0.18312952,32.0,32.0,32.0,0.075,0.036321186,0.14285715,0.0
2025-07-12,1,0,0,0,0.3548387,5.0,12.0,0.0,91780.0,91780.0,91780.0,91780.0,91780.0,414291.2,414291.2,414291.2,414291.2,414291.2,0.21720806,0.21720806,0.21720806,0.21720806,0.21720806,26.0,26.0,26.0,0.075,0.046272263,0.0,0.0
2025-07-12,2,0,0,0,0.3548387,5.0,12.0,0.0,95700.0,95700.0,95700.0,95700.0,95700.0,392541.8,392541.8,392541.8,392541.8,392541.8,0.23820393,0.23820393,0.23820393,0.23820393,0.23820393,22.0,22.0,22.0,0.175,0.047563225,0.0,0.0
2025-07-12,3,0,0,0,0.3548387,5.0,12.0,0.0,107780.0,107780.0,107780.0,107780.0,107780.0,394344.4,394344.4,394344.4,394344.4,394344.4,0.2669815,0.2669815,0.2669815,0.2669815,0.2669815,29.0,29.0,29.0,0.1,0.03312406,0.2857143,0.0
2025-07-12,4,0,1,1,0.3548387,5.0,12.0,0.0,89240.0,89240.0,89240.0,89240.0,89240.0,395495.2,395495.2,395495.2,395495.2,395495.2,0.22387965,0.22387965,0.22387965,0.22387965,0.22387965,30.0,30.0,30.0,0.075,0.0377796,0.14285715,0.0
2025-07-12,5,0,1,1,0.3548387,5.0,12.0,0.0,59620.0,59620.0,59620.0,59620.0,59620.0,397848.0,397848.0,397848.0,397848.0,397848.0,0.15079738,0.15079738,0.15079738,0.15079738,0.15079738,39.0,39.0,39.0,0.075,0.03521127,0.0,0.0
2025-07-12,6,1,1,1,0.3548387,5.0,12.0,0.0,98120.0,98120.0,98120.0,98120.0,98120.0,390360.2,390360.2,390360.2,390360.2,390360.2,0.24989903,0.24989903,0.24989903,0.24989903,0.24989903,19.0,19.0,19.0,0.075,0.033639003,0.14285715,0.0
2025-07-12,7,0,0,1,0.3548387,5.0,12.0,0.0,73800.0,73800.0,73800.0,73800.0,73800.0,393049.4,393049.4,393049.4,393049.4,393049.4,0.18264998,0.18264998,0.18264998,0.18264998,0.18264998,39.0,39.0,39.0,0.125,0.052751012,0.14285715,0.0
