dd,rank_from_min,section_size_group,section_machine_count,diff_sum,games_sum,machine_count,pay_rate
18,1,large,22,-46500,691358,14,97.76
18,1,medium,14,11100,508469,11,100.73
18,2,large,22,-45200,608535,14,97.52
18,2,medium,14,12500,497109,11,100.84
18,3,large,22,47100,548482,14,102.86
18,3,medium,14,14700,430189,11,101.14
18,4,large,22,-19900,618883,14,98.93
18,4,medium,14,4300,438109,11,100.33
18,5,large,22,63900,642947,14,103.31
18,5,medium,14,-2000,439759,11,99.85
18,6,large,22,23000,650189,14,101.18
18,6,medium,14,-8100,506252,11,99.47
18,7,large,22,-24100,579843,14,98.61
18,7,medium,14,11300,460011,11,100.82
18,8,large,22,73500,636824,14,103.85
18,8,medium,14,26800,462088,11,101.93
18,9,large,22,-12900,599345,14,99.28
18,9,medium,14,-7500,420729,11,99.41
18,10,large,22,54000,648648,14,102.78
18,10,medium,14,-7100,381238,10,99.38
18,11,large,22,3400,655281,14,100.17
18,11,medium,14,-5600,352808,9,99.47
18,12,large,22,47600,561124,14,102.83
18,12,medium,14,-31400,390446,9,97.32
18,13,large,22,18300,612376,14,101.0
18,13,medium,14,1000,287956,6,100.12
19,1,large,22,-64400,677058,14,96.83
19,1,medium,14,-41700,527657,11,97.37
19,2,large,22,41900,626080,14,102.23
19,2,medium,14,-28600,466708,11,97.96
19,3,large,22,-6800,610609,14,99.63
19,3,medium,14,31800,485965,11,102.18
19,4,large,22,-7200,647625,14,99.63
19,4,medium,14,59300,431017,11,104.59
19,5,large,22,5100,577253,14,100.29
19,5,medium,14,-3800,438253,11,99.71
19,6,large,22,11700,586916,14,100.66
19,6,medium,14,28600,439273,11,102.17
19,7,large,22,42600,651403,14,102.18
19,7,medium,14,24000,454952,11,101.76
19,8,large,22,79200,645726,14,104.09
19,8,medium,14,12400,494157,11,100.84
19,9,large,22,26700,675548,14,101.32
19,9,medium,14,7600,423138,11,100.6
19,10,large,22,35400,619884,14,101.9
19,10,medium,14,30400,393282,10,102.58
19,11,large,22,-19000,612131,14,98.97
19,11,medium,14,21000,382301,9,101.83
19,12,large,22,43300,659048,14,102.19
19,12,medium,14,14300,405774,9,101.17
19,13,large,22,60700,631459,14,103.2
19,13,medium,14,-15800,293554,6,98.21
20,1,large,22,-67800,757277,14,97.02
20,1,medium,14,-11000,556478,11,99.34
20,2,large,22,47000,709063,14,102.21
20,2,medium,14,42700,522561,11,102.72
20,3,large,22,-1800,714346,14,99.92
20,3,medium,14,-21000,472034,11,98.52
20,4,large,22,36800,661168,14,101.86
20,4,medium,14,3800,464752,11,100.27
20,5,large,22,-17800,634883,14,99.07
20,5,medium,14,16400,506763,11,101.08
20,6,large,22,-5700,621249,14,99.69
20,6,medium,14,23700,482903,11,101.64
20,7,large,22,-3200,674802,14,99.84
20,7,medium,14,23100,518131,11,101.49
20,8,large,22,59900,675243,14,102.96
20,8,medium,14,2900,501938,11,100.19
20,9,large,22,16700,645097,14,100.86
20,9,medium,14,23400,499610,11,101.56
20,10,large,22,38700,680286,14,101.9
20,10,medium,14,2800,430802,10,100.22
20,11,large,22,42100,657422,14,102.13
20,11,medium,14,14000,399207,9,101.17
20,12,large,22,-7700,625279,14,99.59
20,12,medium,14,-34300,408546,9,97.2
20,13,large,22,5800,637493,14,100.3
20,13,medium,14,47000,301742,6,105.19
21,1,large,22,75100,796440,14,103.14
21,1,medium,14,-14400,603331,11,99.2
21,2,large,22,64500,747086,14,102.88
21,2,medium,14,31800,539507,11,101.96
21,3,large,22,-200,686837,14,99.99
21,3,medium,14,57100,549158,11,103.47
21,4,large,22,7100,754956,14,100.31
21,4,medium,14,34000,599516,11,101.89
21,5,large,22,29800,687536,14,101.44
21,5,medium,14,15000,533479,11,100.94
21,6,large,22,125800,753354,14,105.57
21,6,medium,14,-9200,581039,11,99.47
21,7,large,22,4600,702610,14,100.22
21,7,medium,14,10700,548934,11,100.65
21,8,large,22,40000,704666,14,101.89
21,8,medium,14,-4300,541481,11,99.74
21,9,large,22,59000,724493,14,102.71
21,9,medium,14,13900,553819,11,100.84
21,10,large,22,8000,717746,14,100.37
21,10,medium,14,54600,517146,10,103.52
21,11,large,22,55100,691836,14,102.65
21,11,medium,14,-21700,410174,9,98.24
21,12,large,22,2900,679833,14,100.14
21,12,medium,14,32700,502798,9,102.17
21,13,large,22,94000,740844,14,104.23
21,13,medium,14,15300,313963,6,101.62
22,1,large,22,-58000,824177,14,97.65
22,1,medium,14,-23400,691264,11,98.87
22,2,large,22,68600,805885,14,102.84
22,2,medium,14,42900,598283,11,102.39
22,3,large,22,-29900,774971,14,98.71
22,3,medium,14,29900,605096,11,101.65
22,4,large,22,68900,775265,14,102.96
22,4,medium,14,21300,590091,11,101.2
22,5,large,22,85200,793516,14,103.58
22,5,medium,14,17600,603286,11,100.97
22,6,large,22,24200,765642,14,101.05
22,6,medium,14,24700,615571,11,101.34
22,7,large,22,17100,768561,14,100.74
22,7,medium,14,1800,598042,11,100.1
22,8,large,22,42500,787221,14,101.8
22,8,medium,14,-1500,607587,11,99.92
22,9,large,22,8700,800924,14,100.36
22,9,medium,14,-22500,588055,11,98.72
22,10,large,22,30900,802148,14,101.28
22,10,medium,14,-3100,528556,10,99.8
22,11,large,22,18500,811456,14,100.76
22,11,medium,14,31000,524108,9,101.97
22,12,large,22,12900,807836,14,100.53
22,12,medium,14,11300,491318,9,100.77
22,13,large,22,-14800,789073,14,99.37
22,13,medium,14,-15300,326882,6,98.44
23,1,large,22,-5000,742358,14,99.78
23,1,medium,14,-36300,542665,11,97.77
23,2,large,22,-14300,689528,14,99.31
23,2,medium,14,17300,521396,11,101.11
23,3,large,22,-5800,662857,14,99.71
23,3,medium,14,11200,494359,11,100.76
23,4,large,22,-52100,657159,14,97.36
23,4,medium,14,38100,514768,11,102.47
23,5,large,22,10100,732829,14,100.46
23,5,medium,14,19900,508836,11,101.3
23,6,large,22,13100,667117,14,100.65
23,6,medium,14,7400,494787,11,100.5
23,7,large,22,-26800,588315,14,98.48
23,7,medium,14,30500,466715,11,102.18
23,8,large,22,-46700,633186,14,97.54
23,8,medium,14,24300,551008,11,101.47
23,9,large,22,-2700,660969,14,99.86
23,9,medium,14,12900,522325,11,100.82
23,10,large,22,9200,636825,14,100.48
23,10,medium,14,65900,501067,10,104.38
23,11,large,22,79500,697974,14,103.8
23,11,medium,14,33900,458363,9,102.47
23,12,large,22,42600,713102,14,101.99
23,12,medium,14,-23200,404059,9,98.09
23,13,large,22,41700,706484,14,101.97
23,13,medium,14,0,285373,6,100.0
24,1,large,22,-55800,768613,14,97.58
24,1,medium,14,-33300,553233,11,97.99
24,2,large,22,-29200,680720,14,98.57
24,2,medium,14,22400,523666,11,101.43
24,3,large,22,75600,685882,14,103.67
24,3,medium,14,3700,487842,11,100.25
24,4,large,22,14800,642505,14,100.77
24,4,medium,14,2700,500255,11,100.18
24,5,large,22,29900,680051,14,101.47
24,5,medium,14,-14600,494333,11,99.02
24,6,large,22,62300,663939,14,103.13
24,6,medium,14,64000,518062,11,104.12
24,7,large,22,34700,683272,14,101.69
24,7,medium,14,-6100,491545,11,99.59
24,8,large,22,146200,687613,14,107.09
24,8,medium,14,25600,513736,11,101.66
24,9,large,22,16400,696077,14,100.79
24,9,medium,14,8800,511864,11,100.57
24,10,large,22,25300,656292,14,101.28
24,10,medium,14,19500,447066,10,101.45
24,11,large,22,33200,626255,14,101.77
24,11,medium,14,16100,416406,9,101.29
24,12,large,22,13100,638535,14,100.68
24,12,medium,14,8200,391313,9,100.7
24,13,large,22,7500,681020,14,100.37
24,13,medium,14,9200,307887,6,101.0
25,1,large,22,-20700,782239,14,99.12
25,1,medium,14,15100,606311,11,100.83
25,2,large,22,37300,697835,14,101.78
25,2,medium,14,10100,522778,11,100.64
25,3,large,22,-8100,693815,14,99.61
25,3,medium,14,50900,517914,11,103.28
