hall,weekday,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
蒲田7,日,False,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,bt,187,35.294117647058826,34.503360716952955,0.7907569301058714,54,47,0.8174308965828851,0.9395757431987186,False
蒲田7,日,False,東京喰種,other,1997,38.557836755132705,37.78178539224527,0.7760513628874364,55,46,0.4058812346844592,0.7351209071149098,False
蒲田7,日,False,モンキーターンV,other,1952,35.60450819672131,34.84924085822225,0.7552673384990598,56,45,0.4190189170554986,0.7351209071149098,False
蒲田7,日,False,マジカルハロウィン8,bt,49,38.775510204081634,38.15028901734104,0.6252211867405961,57,44,1.0,1.0,False
蒲田7,日,False,甲鉄城のカバネリ,other,267,44.569288389513105,43.99164054336468,0.5776478461484231,58,43,0.8533100124486367,0.9408289506876945,False
蒲田7,日,False,新鬼武者3,other,426,32.863849765258216,32.34289617486339,0.520953590394825,59,42,0.7956128045431518,0.9251311680734323,False
蒲田7,日,False,スーパーブラックジャック,other,523,36.90248565965583,36.395009291213164,0.5074763684426671,60,41,0.7851119613991493,0.9236611310578228,False
蒲田7,日,False,ヨルムンガンド,other,25,32.0,31.693989071038253,0.3060109289617472,61,40,1.0,1.0,False
蒲田7,日,False,この素晴らしい世界に祝福を！,other,119,39.49579831932773,39.36915887850467,0.12663944082306244,62,39,1.0,1.0,False
蒲田7,日,False,からくりサーカス,other,732,36.6120218579235,36.53129291740239,0.08072894052111224,63,38,0.9693876551807357,1.0,False
蒲田7,日,False,吉宗,other,234,34.18803418803419,34.12121212121212,0.06682206682206981,64,37,1.0,1.0,False
蒲田7,日,False,ヱヴァンゲリヲン ～約束の扉～,bt,247,29.1497975708502,29.185520361990953,-0.03572279114075272,65,36,1.0,1.0,False
蒲田7,日,False,ゴッドイーター リザレクション,other,729,31.412894375857338,31.45809414466131,-0.04519976880397181,66,35,1.0,1.0,False
蒲田7,日,False,北斗の拳 転生の章2,other,516,31.589147286821706,31.768855127509493,-0.17970784068778656,67,34,0.9623056353499047,1.0,False
蒲田7,日,False,沖ドキ!ゴージャス 30Φ,oki,340,37.64705882352941,38.331929233361414,-0.6848704098320013,68,33,0.7807140626055563,0.9236611310578228,False
蒲田7,日,False,ネオアイムジャグラーEX,jug,1219,25.922887612797375,26.681948424068768,-0.759060811271393,69,32,0.4973254649884866,0.7894054999817248,False
蒲田7,日,False,ディスクアップ ULTRAREMIX,bt,488,38.114754098360656,38.88419273034658,-0.7694386319859206,70,31,0.710575040792292,0.9109936420413999,False
蒲田7,日,False,アイムジャグラーEX-TP,jug,620,30.483870967741932,31.312681078671716,-0.8288101109297834,71,30,0.6343205175740749,0.8783013971121622,False
蒲田7,日,False,ゴーゴージャグラー3,jug,1127,25.199645075421472,26.307370493417004,-1.1077254179955318,72,29,0.34460114618909343,0.733193928061901,False
蒲田7,日,False,かぐや様は告らせたい,other,900,30.333333333333336,31.531115218730744,-1.1977818853974078,73,28,0.390078936834787,0.7351209071149098,False
蒲田7,日,False,押忍！番長4,other,48,43.75,45.103857566765576,-1.3538575667655763,74,27,0.8853221659299546,0.9623067020977767,False
蒲田7,日,False,真打 吉宗,other,105,36.19047619047619,37.926829268292686,-1.7363530778164957,75,26,0.7633074198989833,0.9236611310578228,False
蒲田7,日,False,ダーリン・イン・ザ・フランキス,other,110,29.09090909090909,30.83756345177665,-1.7466543608675593,76,25,0.6817342319169225,0.8853691323596395,False
蒲田7,日,False,マギアレコード 魔法少女まどか☆マギカ外伝,other,1697,32.94048320565704,34.85912583656944,-1.9186426309124016,77,24,0.05656401619373609,0.4118038968074856,False
