segment6,rank_basis,kakuban_group,weekday,n,all_weekday_mean_residual,weekday_mean_residual,weekday_specific_effect,t_stat,p_value,q_value,significant
2F_L_N,rank_from_min,K10-14,Sat,3841,45.37710626079931,-21.492291228687996,-66.86939748948733,-1.2780539168184628,0.20130766553798024,1.0,False
2F_L_N,rank_from_min,K10-14,Thu,2759,45.37710626079931,110.727063633834,65.34995737303466,1.1257602382021814,0.2603649692095045,1.0,False
2F_L_N,rank_from_min,K10-14,Tue,3048,45.37710626079931,69.33845466586321,23.96134840506388,0.43075221515059536,0.6666790158405359,1.0,False
2F_L_N,rank_from_min,K10-14,Wed,3100,45.37710626079931,107.87041572437681,62.49330946357749,1.1065949598421958,0.2685549777968582,1.0,False
2F_L_N,rank_from_min,K15+,Sat,1442,-18.455041797463263,-184.0504869202756,-165.5954451228123,-1.963726919234635,0.049753788567252835,0.34827651997076986,False
2F_L_N,rank_from_min,K15+,Tue,1199,-18.455041797463263,141.1033258553251,159.55836765278838,1.7589748834263217,0.07883703912321134,0.5518592738624793,False
2F_L_N,rank_from_min,K15+,Fri,1138,-18.455041797463263,-12.169622801988645,6.285418995474625,0.06829787836524996,0.9455605214595655,1.0,False
2F_L_N,rank_from_min,K15+,Mon,1156,-18.455041797463263,-5.12456516107542,13.330476636387829,0.15565170453205762,0.8763347654230087,1.0,False
2F_L_N,rank_from_min,K15+,Sun,1347,-18.455041797463263,-71.49570346462131,-53.04066166715804,-0.6375373662044396,0.5238833085080765,1.0,False
2F_L_N,rank_from_min,K15+,Thu,1062,-18.455041797463263,48.37394382509037,66.82898562255365,0.7494202016793731,0.453770101742295,1.0,False
2F_L_N,rank_from_min,K15+,Wed,1189,-18.455041797463263,2.8979437175895044,21.35298551505275,0.22871091550577477,0.8191329732323406,1.0,False
2F_L_N,rank_from_min,K2,Wed,851,99.41388324732632,422.99668240525017,323.5827991579239,2.8427836555710355,0.004579300569940212,0.03205510398958148,True
2F_L_N,rank_from_min,K2,Sat,1067,99.41388324732632,-108.71533860287373,-208.12922185020005,-2.1186228601523873,0.03435317531248785,0.24047222718741493,False
2F_L_N,rank_from_min,K2,Sun,996,99.41388324732632,-88.47874572405048,-187.89262897137678,-1.9911823784531903,0.04673393993409712,0.32713757953867983,False
2F_L_N,rank_from_min,K2,Fri,839,99.41388324732632,284.5354803434275,185.12159709610117,1.755382947128328,0.07955918434486893,0.5569142904140825,False
2F_L_N,rank_from_min,K2,Mon,854,99.41388324732632,37.53031895053868,-61.883564296787604,-0.6320881098561896,0.5274986774439182,1.0,False
2F_L_N,rank_from_min,K2,Thu,753,99.41388324732632,64.8543683269486,-34.559514920377694,-0.32728495040544703,0.7435434581851211,1.0,False
2F_L_N,rank_from_min,K2,Tue,848,99.41388324732632,167.1035468878144,67.68966364048808,0.6369035811100099,0.5243597458718041,1.0,False
2F_L_N,rank_from_min,K3-4,Tue,1776,70.0742823497375,262.7759429643621,192.7016606146246,2.5012457098469367,0.012465187207985258,0.08725631045589681,False
2F_L_N,rank_from_min,K3-4,Wed,1730,70.0742823497375,-64.19027132525942,-134.264553674997,-1.8862491437983078,0.05942885052923678,0.4160019537046574,False
2F_L_N,rank_from_min,K3-4,Thu,1561,70.0742823497375,187.4924689632927,117.41818661355515,1.4666796939768225,0.1426647596626964,0.9986533176388748,False
2F_L_N,rank_from_min,K3-4,Fri,1701,70.0742823497375,88.30501237493667,18.23073002519911,0.25045167386082545,0.8022683363121318,1.0,False
2F_L_N,rank_from_min,K3-4,Mon,1733,70.0742823497375,29.49674273958921,-40.577539610148335,-0.5686519181980643,0.5696661061596664,1.0,False
2F_L_N,rank_from_min,K3-4,Sat,2179,70.0742823497375,-10.32698231963275,-80.40126466937029,-1.1646319198154467,0.24429556404705507,1.0,False
2F_L_N,rank_from_min,K3-4,Sun,2050,70.0742823497375,31.661843027051066,-38.41243932268649,-0.559292050559503,0.5760235445942239,1.0,False
2F_L_N,rank_from_min,K5-9,Sat,6022,109.48765596632519,1.4262144096745617,-108.06144155665066,-2.539269723587384,0.011133360805055434,0.07793352563538804,False
2F_L_N,rank_from_min,K5-9,Tue,4898,109.48765596632519,217.4001258068134,107.9124698404882,2.3483977260741966,0.01889393309943219,0.13225753169602533,False
2F_L_N,rank_from_min,K5-9,Thu,4225,109.48765596632519,219.7085673424692,110.22091137614397,2.3284020629926734,0.019937727113205128,0.1395640897924359,False
2F_L_N,rank_from_min,K5-9,Wed,4768,109.48765596632519,197.54817412657363,88.06051816024839,1.9219083836303958,0.05467682962151299,0.38273780735059093,False
2F_L_N,rank_from_min,K5-9,Sun,5636,109.48765596632519,32.92626132883615,-76.56139463748903,-1.8420526052559392,0.0655199679137094,0.4586397753959658,False
2F_L_N,rank_from_min,K5-9,Fri,4703,109.48765596632519,77.24167553972686,-32.24598042659837,-0.7573654694684626,0.44886888859886687,1.0,False
2F_L_N,rank_from_min,K5-9,Mon,4743,109.48765596632519,71.49222875703695,-37.995427209288266,-0.8880740004356849,0.37454598921488597,1.0,False
2F_R_A,rank_from_min,K1,Fri,190,-39.23840635408661,-62.856516290726816,-23.618109936640163,-0.1986095466660502,0.842781665255109,1.0,False
2F_R_A,rank_from_min,K1,Mon,178,-39.23840635408661,43.584135901551605,82.82254225563828,0.7124589228119332,0.47711875383816876,1.0,False
2F_R_A,rank_from_min,K1,Sat,202,-39.23840635408661,-79.79255068363979,-40.55414432955315,-0.35836356089389865,0.7204473479919219,1.0,False
2F_R_A,rank_from_min,K1,Sun,195,-39.23840635408661,-90.74725274725273,-51.5088463931661,-0.40694778264763093,0.6844949676035067,1.0,False
