index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
1,2F_R_N,1198.0,-105.12048192771084,52.0,111.70820856501696,1303.120481927711,3.0,4.284000000000001,4.0,2.8560000000000003,9.0,2.5704,14.0,2.196923076923077,11.0,2.618,9.0,2.9888372093023254,2025-10-18,v9c_percentile,90,non_event,bottom50
2,3F_L_A,-34.0,-12.349397590361447,40.0,96.33415187138272,-21.65060240963855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15692307692307694,0.0,0.0,0.0,0.0,2025-10-18,v9c_percentile,90,non_event,bottom50
3,3F_L_N,-406.0,15.662650602409638,40.0,93.78568229902865,-421.66265060240966,0.0,0.0,0.0,0.0,3.0,0.8568,8.0,1.2553846153846155,3.0,0.714,3.0,0.9962790697674418,2025-10-18,v9c_percentile,90,non_event,bottom50
4,3F_R_A,-124.0,-5.572289156626506,28.000000000000004,97.12984398284061,-118.42771084337349,0.0,0.0,0.0,0.0,1.0,0.2856,2.0,0.3138461538461539,1.0,0.238,0.0,0.0,2025-10-18,v9c_percentile,90,non_event,bottom50
5,3F_R_N,-298.0,7.530120481927711,34.0,98.02796073099587,-305.5301204819277,2.0,2.8560000000000003,4.0,2.8560000000000003,7.0,1.9992,9.0,1.4123076923076925,8.0,1.904,5.0,1.6604651162790698,2025-10-18,v9c_percentile,90,non_event,bottom50
0,2F_L_N,-134.0,184.4879518072289,40.0,97.39265482598896,-318.4879518072289,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,6.0,0.7261016949152541,2.0,0.3615189873417722,2.0,0.5599999999999999,2025-10-19,v9c_percentile,90,non_event,top50
1,2F_R_N,-10.0,175.15060240963857,38.0,100.10965828120176,-185.15060240963857,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,9.0,1.0891525423728812,6.0,1.0845569620253164,4.0,1.1199999999999999,2025-10-19,v9c_percentile,90,non_event,top50
2,3F_L_A,164.0,162.04819277108433,44.0,99.02063617642825,1.9518072289156692,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.24203389830508473,2.0,0.3615189873417722,0.0,0.0,2025-10-19,v9c_percentile,90,non_event,top50
3,3F_L_N,210.0,158.5843373493976,46.0,100.62011565796273,51.4156626506024,1.0,1.4280000000000002,2.0,1.4280000000000002,6.0,1.7136,11.0,1.3311864406779659,8.0,1.4460759493670887,6.0,1.68,2025-10-19,v9c_percentile,90,non_event,top50
4,3F_R_A,312.0,150.90361445783134,46.0,99.62653698007884,161.09638554216866,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.36305084745762706,0.0,0.0,0.0,0.0,2025-10-19,v9c_percentile,90,non_event,top50
5,3F_R_N,1384.0,70.18072289156626,50.0,107.9679792415182,1313.8192771084337,3.0,4.284000000000001,8.0,5.712000000000001,11.0,3.1416,17.0,2.05728813559322,13.0,2.3498734177215193,11.0,3.0799999999999996,2025-10-19,v9c_percentile,90,non_event,top50
0,2F_L_N,240.0,156.32530120481928,40.0,102.0128258829298,83.67469879518072,1.0,1.4280000000000002,2.0,1.4280000000000002,3.0,0.8568,10.0,1.2101694915254235,8.0,1.4460759493670887,3.0,0.84,2025-10-19,v9c_percentile,90,non_event,bottom50
1,2F_R_N,-740.0,230.12048192771084,32.0,94.09817205262912,-970.1204819277109,0.0,0.0,0.0,0.0,3.0,0.8568,5.0,0.6050847457627118,4.0,0.7230379746835444,3.0,0.84,2025-10-19,v9c_percentile,90,non_event,bottom50
2,3F_L_A,2.0,174.24698795180723,36.0,96.65478775401048,-172.24698795180723,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.48406779661016947,1.0,0.1807594936708861,0.0,0.0,2025-10-19,v9c_percentile,90,non_event,bottom50
3,3F_L_N,634.0,126.6566265060241,44.0,100.93898220898491,507.3433734939759,2.0,2.8560000000000003,3.0,2.1420000000000003,8.0,2.2848,13.0,1.5732203389830506,10.0,1.8075949367088608,8.0,2.2399999999999998,2025-10-19,v9c_percentile,90,non_event,bottom50
4,3F_R_A,360.0,147.289156626506,46.0,100.05350908882747,212.710843373494,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6050847457627118,3.0,0.5422784810126582,1.0,0.27999999999999997,2025-10-19,v9c_percentile,90,non_event,bottom50
5,3F_R_N,928.0,104.51807228915662,48.0,104.5156103291043,823.4819277108434,3.0,4.284000000000001,6.0,4.284000000000001,9.0,2.5704,14.0,1.6942372881355932,13.0,2.3498734177215193,9.0,2.52,2025-10-19,v9c_percentile,90,non_event,bottom50
