hall,machine_name,event_type,n_event_days,n_normal_days,hit104_rate_event,hit104_rate_normal,hit104_gap,hit104_chi2_p,hit104_cramers_v,bottom3_rate_event,bottom3_rate_normal,bottom3_gap,bottom3_chi2_p,bottom3_cramers_v,note
蒲田7,七つの魔剣が支配する,is_any_event,829,871,35.58504221954162,31.113662456946038,4.471379762595582,0.05053481058778757,0.04742563524501826,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,七つの魔剣が支配する,is_weekend,484,1216,38.01652892561984,31.414473684210524,6.602055241409314,0.009143978828168805,0.06321991088220692,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,七つの魔剣が支配する,is_x_day,493,1207,33.874239350912774,33.05716652858327,0.8170728223295072,0.7456540300356811,0.007867253004393174,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,東京喰種,is_any_event,6966,7410,39.606660924490384,35.82995951417004,3.7767014103203422,3.0034874008289456e-06,0.03895398511641776,2.383003158196957,2.051282051282051,-0.33172110691490575,0.1765337285146672,0.01127193862681298,
蒲田7,東京喰種,is_weekend,4075,10301,39.018404907975466,37.12260945539268,1.8957954525827887,0.034495551736716465,0.017633291289718238,2.625766871165644,2.0483448208911756,-0.5774220502744685,0.03388076182346427,0.017693817157835908,
蒲田7,東京喰種,is_x_day,4195,10181,40.69129916567342,36.41096159512818,4.280337570545242,1.4719688624998762e-06,0.04015851334290632,2.2169249106078666,2.2099990177782143,-0.00692589282965228,0.9795226832516578,0.00021407287361653536,
蒲田7,機動戦士ガンダムユニコーン 覚醒DRIVE,is_any_event,253,186,30.039525691699602,23.118279569892472,6.92124612180713,0.10694596493183489,0.07694006626546604,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,機動戦士ガンダムユニコーン 覚醒DRIVE,is_weekend,126,313,29.365079365079367,26.198083067092654,3.1669962979867137,0.4994930484009307,0.03222971960285939,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,機動戦士ガンダムユニコーン 覚醒DRIVE,is_x_day,145,294,31.03448275862069,25.170068027210885,5.864414731409806,0.19357759845790118,0.06204886938828646,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,沖ドキ!DUO アンコール,is_any_event,1361,1564,32.916972814107275,31.138107416879794,1.7788653972274808,0.3034732829007084,0.01902646824254382,0.5143277002204262,1.7902813299232736,1.2759536297028475,0.0015473909237170324,0.05853281150780592,
蒲田7,沖ドキ!DUO アンコール,is_weekend,850,2075,33.52941176470588,31.32530120481928,2.2041105598865975,0.2458046989568564,0.02145949734150258,0.2352941176470588,1.5903614457831325,1.3550673281360737,0.002211394393561892,0.05658436467348505,
蒲田7,沖ドキ!DUO アンコール,is_x_day,875,2050,32.22857142857143,31.853658536585368,0.37491289198606026,0.8421950412864411,0.0036811116328274523,0.6857142857142857,1.4146341463414636,0.7289198606271778,0.09688935279734226,0.03069571804096549,
蒲田7,無職転生 ～異世界行ったら本気だす～,is_any_event,497,552,33.80281690140845,31.34057971014493,2.462237191263519,0.39526782703888075,0.026247249634008228,0.4024144869215292,0.5434782608695652,0.141063773948036,0.7404787914535518,0.010226522548952486,warning: 50.0% of expected cells are below 5
蒲田7,無職転生 ～異世界行ったら本気だす～,is_weekend,298,751,35.90604026845637,31.158455392809586,4.747584875646787,0.13875226792760956,0.04570955779480959,0.33557046979865773,0.5326231691078562,0.1970526993091985,0.6760268386993982,0.012902540692163829,warning: 50.0% of expected cells are below 5
蒲田7,無職転生 ～異世界行ったら本気だす～,is_x_day,305,744,34.0983606557377,31.85483870967742,2.24352194606028,0.4811420127375694,0.02175068261577638,0.6557377049180327,0.4032258064516129,-0.25251189846641986,0.589731005647979,0.016648801794428045,warning: 50.0% of expected cells are below 5
