hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
レイトギャップ,チバリヨ2プラス,plus,2026-04-02..2026-06-30,376,0.27884399287256495,0.10289002614509977,17.0,2026-01-02..2026-04-01,318,0.4374676698705242,0.03814451143350504,5.0,31,0.2220197053525122,0.2299812702784248,False,False,
レイトギャップ,ディスクアップ ULTRAREMIX,hit104,2026-05-25..2026-06-30,,,,,2026-01-02..2026-01-04,,,,,,,,False,False,skip: window0_n=49 < 200; window1_n=3 < 200
レイトギャップ,ディスクアップ ULTRAREMIX,plus,2026-05-25..2026-06-30,,,,,2026-01-02..2026-01-04,,,,,,,,False,False,skip: window0_n=49 < 200; window1_n=3 < 200
レイトギャップ,ドッチ,hit104,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=41 < 200; window1_n=0 < 200
レイトギャップ,ドッチ,plus,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=41 < 200; window1_n=0 < 200
レイトギャップ,ネオアイムジャグラーEX,hit104,2026-04-02..2026-06-30,3544,0.17658195452790043,0.04448359434242274,31.0,2026-01-02..2026-04-01,3589,0.05039418848772828,0.06185252054650526,19.0,31,0.34199923407577343,0.05967954773605504,False,False,
レイトギャップ,ネオアイムジャグラーEX,plus,2026-04-02..2026-06-30,3544,0.2344433940738834,0.038381776430049176,30.0,2026-01-02..2026-04-01,3589,5.7122002816901124e-05,0.10487435818627483,16.0,31,0.17900798882467814,0.3352818295776936,False,False,
レイトギャップ,ハッピージャグラーVIII,hit104,2026-04-02..2026-06-30,529,0.0030900619066621176,0.2196485707203165,31.0,2026-01-02..2026-04-01,531,0.5319175546515362,0.0,1.0,31,-0.01605817625001407,0.9316736303004681,True,False,
レイトギャップ,ハッピージャグラーVIII,plus,2026-04-02..2026-06-30,529,0.04037671457022753,0.16704215828036084,16.0,2026-01-02..2026-04-01,531,0.18651008735920718,0.11182958766300483,3.0,31,-0.06646361039727074,0.7224099271890497,True,False,
レイトギャップ,バイオハザード RE:3,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=99 < 200; window1_n=0 < 200
レイトギャップ,バイオハザード RE:3,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=99 < 200; window1_n=0 < 200
レイトギャップ,バイオハザード5,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=190 < 200
レイトギャップ,バイオハザード5,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=190 < 200
レイトギャップ,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,hit104,2026-04-02..2026-06-30,237,0.4429503845723092,0.03680536598827905,21.0,2026-01-02..2026-04-01,637,0.26040605930778504,0.08389059394642073,18.0,30,0.13585638382025678,0.47409834982194504,False,False,
レイトギャップ,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,plus,2026-04-02..2026-06-30,237,0.7944168264562415,0.0,21.0,2026-01-02..2026-04-01,637,0.46181312215256143,0.006624523254803602,18.0,30,0.033050521701826985,0.8623525745362393,False,False,
レイトギャップ,ビッグドリーム THE GOLDEN PUSHER,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=20 < 200; window1_n=0 < 200
