hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
ARROW,ウルトラミラクルジャグラー,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ウルトラミラクルジャグラー,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ゴッドイーター リザレクション,hit104,2026-04-01..2026-06-29,409,0.14625885509143025,0.14058446327027133,20.0,2026-01-01..2026-03-31,441,0.5337714510133023,0.0,22.0,31,0.22274882463821977,0.22841514237645,False,False,
ARROW,ゴッドイーター リザレクション,plus,2026-04-01..2026-06-29,409,0.03810860886472233,0.1916551512259382,14.0,2026-01-01..2026-03-31,441,0.3316273065200267,0.07868396812856977,24.0,31,0.29202376103203687,0.1109197685562418,True,False,
ARROW,ゴーゴージャグラー3,hit104,2026-04-01..2026-06-29,653,0.13178566642529574,0.11543888131641042,5.0,2026-01-01..2026-03-31,720,0.000381188281502149,0.21444439869365456,25.0,31,0.2778838202835255,0.13012695905746643,False,False,
ARROW,ゴーゴージャグラー3,plus,2026-04-01..2026-06-29,653,0.2026103332233492,0.09690425586069316,15.0,2026-01-01..2026-03-31,720,1.1144627454644716e-05,0.249180033234412,15.0,31,0.12827561117307565,0.4916366697788522,False,False,
ARROW,ジャグラーガールズ,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ジャグラーガールズ,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,スマスロ サンダーV,hit104,2026-04-01..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=166 < 200; window1_n=0 < 200
ARROW,スマスロ サンダーV,plus,2026-04-01..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=166 < 200; window1_n=0 < 200
