hall,weekday,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,weekday_event_coverage_rate,is_known_weekend_day,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
楽園,月,181,108,73,0.5966850828729282,1.0731208036720892,0.8491128671537211,0.011291549437886236,0.19459598964867775,,0.03952042303260183,True,0.0,False,33150,31.27300150829563,89.03046757164404,30.771952315940194,59.78607522227032,0.5010491923554348,29.24439234937372
楽園,木,181,92,89,0.5082872928176796,0.3593109870932298,0.11343012704174171,0.8818760916964361,0.016575344615623377,,0.8818760916964361,False,0.0,False,30778,31.246344791734355,70.95032165832738,30.771952315940194,59.78607522227032,0.47439247579416133,11.164246436057063
楽園,水,181,100,81,0.5524861878453039,0.5114787779436435,0.47715332127051724,0.1807616032020341,0.10516612322188346,,0.25306624448284776,False,0.0,False,32533,31.395813481695512,94.25033043371346,30.771952315940194,59.78607522227032,0.6238611657553186,34.46425521144314
楽園,火,181,104,77,0.574585635359116,0.9656814469583525,0.8989276751083715,0.05298888865344443,0.1497301131453923,,0.09273055514352775,False,0.0,False,32163,31.663712962099304,91.13313434692037,30.771952315940194,59.78607522227032,0.8917606461591099,31.347059124650052
楽園,金,181,95,86,0.5248618784530387,-0.1415057469461214,0.264633095345399,0.552207071849492,0.049744269670563,,0.6442415838244074,False,0.0,False,33821,31.060583661038997,62.44144170781467,30.771952315940194,59.78607522227032,0.2886313450988034,2.6553664855443486
レイトギャップ,土,132,76,56,0.5757575757575758,1.0918280682462207,0.9862237120398021,0.0978122145014186,0.1521009416867829,,0.3235586816889068,False,1.0,True,25063,30.68267964728883,-22.22212025695248,30.143909542573237,-38.21556450231283,0.5387701047155922,15.993444245360351
レイトギャップ,日,132,54,78,0.4090909090909091,-0.7290820632789536,-0.8979760109839461,0.04488539312889577,-0.18283513699290888,,0.3141977519022704,False,1.0,True,25207,29.42436624747094,-115.43190383623596,30.143909542573237,-38.21556450231283,-0.719543295102298,-77.21633933392313
レイトギャップ,月,132,67,65,0.5075757575757576,0.8021250963689682,0.03586614762063611,0.9306844655255784,0.015152094929621995,,0.9306844655255784,False,0.0,False,22970,30.25685676969961,-12.304397039616891,30.143909542573237,-38.21556450231283,0.11294722712637295,25.91116746269594
レイトギャップ,木,132,57,75,0.4318181818181818,-0.31796733990860054,-0.6530351457639352,0.1386680064381029,-0.13678982692424602,,0.3235586816889068,False,0.0,False,21753,29.766009286075484,-25.56773778329426,30.143909542573237,-38.21556450231283,-0.37790025649775316,12.647826719018571
レイトギャップ,水,132,58,74,0.4393939393939394,-1.1924336550929286,-0.7484558965450709,0.19149877187347042,-0.12151091668968084,,0.33512285077857323,False,0.0,False,22763,30.25084567060581,-48.42626191626763,30.143909542573237,-38.21556450231283,0.10693612803257224,-10.210697413954797
レイトギャップ,火,132,68,64,0.5151515151515151,0.4178622375416959,0.16095596268842094,0.7941225170088048,0.030307669966186612,,0.9264762698436056,False,0.0,False,22813,30.06619033007496,-22.47630736860562,30.143909542573237,-38.21556450231283,-0.07771921249827685,15.73925713370721
レイトギャップ,金,132,68,64,0.5151515151515151,0.15069286816374095,0.10940752460805392,0.7941225170088048,0.030307669966186612,,0.9264762698436056,False,0.0,False,22867,30.56369440678707,-14.224340753050248,30.143909542573237,-38.21556450231283,0.41978486421383465,23.99122374926258
ARROW,土,108,59,49,0.5462962962962963,0.9625590507694712,0.37096906817577135,0.3865726089882611,0.09272541102365639,,0.676502065729457,False,1.0,True,22400,28.633928571428573,-73.9921875,28.529895991219362,-16.16851121099671,0.10403258020921058,-57.82367628900329
ARROW,日,108,54,54,0.5,-0.24428516076218812,0.028575940113922726,1.0,0.0,,1.0,False,1.0,True,22006,28.923929837317097,-29.323002817413432,28.529895991219362,-16.16851121099671,0.3940338460977344,-13.154491606416723
ARROW,月,108,57,51,0.5277777777777778,-0.13663573673938667,0.3886348702601321,0.6306338345308322,0.05558417328091725,,0.7357394736193043,False,0.0,False,21709,28.969551798793127,15.87189644847759,28.529895991219362,-16.16851121099671,0.43965580757376443,32.0404076594743
ARROW,木,108,47,61,0.4351851851851852,0.2548969664510256,-0.32692574536945784,0.21076579397878167,-0.12999544860613232,,0.676502065729457,False,0.0,False,21762,28.306221854608953,-13.313803878320007,28.529895991219362,-16.16851121099671,-0.22367413661040914,2.8547073326767016
ARROW,水,108,46,62,0.42592592592592593,-0.33507067638033344,-0.5898867090356479,0.14857634761056235,-0.14869549426756246,,0.676502065729457,False,0.0,False,21828,28.051126992853213,-9.997617738684259,28.529895991219362,-16.16851121099671,-0.4787689983661494,6.17089347231245
ARROW,火,108,58,50,0.5370370370370371,-0.34763293924192123,0.2600430152408624,0.5007663934164358,0.074141982233763,,0.7010729507830101,False,0.0,False,21337,28.5560294324413,15.28152973707644,28.529895991219362,-16.16851121099671,0.02613344122193695,31.45004094807315
ARROW,金,108,49,59,0.4537037037037037,-0.22032417081250358,-0.5831755148428446,0.3865726089882611,-0.09272541102365683,,0.676502065729457,False,0.0,False,22022,28.26718735809645,-15.201707383525566,28.529895991219362,-16.16851121099671,-0.26270863312291226,0.9668038274711428
ヒロキ,土,113,52,61,0.46017699115044247,-0.6816822435743597,-0.5747126436781542,0.4518532686657418,-0.07973046457611699,,0.7907432201650483,False,1.0,True,19639,27.15515046590967,-23.19792250114568,27.244816271234157,-31.566748480289956,-0.08966580532448631,8.368825979144276
