date,machine_number,machine_name,last_digit,is_zorome,games_normalized,diff_coins_normalized,date_dt,dd,dow,mmdd,is_event,is_month_end,is_0707,floor,section,section_min,section_max,rank_from_min,rank_from_max,section_size,section_size_group,lr,kakuban_old,kakuban_new,seg,segment,hist_payout_row,kakuban,dd_key,dow_key,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an,a_seg_hist_coverage,a_seg_fallback_count,hist_metric,composite,variant,test_date,dow_name,rank
20260621,3214,東京喰種,4,0,3430,2300,2026-06-21,21,6,0621,True,False,False,3F,3209-3217,3209,3217,6,4,9,small,R,6,6,N,3F_R_N,122.35179786200194,6,21,6,-11.884057971014492,150.0,-214.28571428571428,127.05167173252279,0.0,0.0,-11.884057971014492,101.26821126885612,0.41739130434782606,34.20289855072463,0.0,0.0,34.20289855072463,-30.642718697099532,v7_lift_weights,2026-06-21,Sunday,494
20260621,3104,からくりサーカス,4,0,3490,1100,2026-06-21,21,6,0621,True,False,False,3F,3103-3116,3103,3116,2,13,14,medium,L,2,13,N,3F_L_N,110.50620821394462,13,21,6,30.717863105175294,0.0,-77.77777777777777,-242.37918215613382,-6.608695652173913,0.0,78.84057971014492,101.17658817323276,0.37681159420289856,33.04347826086956,0.0,0.0,33.04347826086956,-33.09267254773977,v7_lift_weights,2026-06-21,Sunday,495
20260621,3018,沖ドキ!DUO アンコール,8,0,675,800,2026-06-21,21,6,0621,True,False,False,3F,3017-3030,3017,3030,2,13,14,medium,L,2,13,N,3F_L_N,139.50617283950618,13,21,6,30.717863105175294,0.0,-77.77777777777777,-242.37918215613382,148.63968148639682,0.0,7.536231884057971,102.62489822244599,0.4,29.565217391304348,0.0,0.0,29.565217391304348,-33.78832472165281,v7_lift_weights,2026-06-21,Sunday,496
20260621,3220,東京喰種,0,0,6420,-5600,2026-06-21,21,6,0621,True,False,False,3F,3218-3233,3218,3233,3,14,16,large,L,3,14,N,3F_L_N,70.92419522326064,14,21,6,-98.18840579710145,50.0,-185.71428571428572,-274.34944237918216,-21.97082465019351,0.0,227.53623188405797,104.75234942060585,0.4028985507246377,36.811594202898554,0.0,0.0,36.811594202898554,-36.14785292476947,v7_lift_weights,2026-06-21,Sunday,497
20260621,3251,真打 吉宗,1,0,4249,1000,2026-06-21,21,6,0621,True,False,False,3F,3250-3264,3250,3264,2,14,15,large,L,2,14,N,3F_L_N,107.84498313328625,14,21,6,-98.18840579710145,50.0,-185.71428571428572,-274.34944237918216,74.75116124751162,0.0,-217.3913043478261,99.74587109216382,0.3826086956521739,33.33333333333333,0.0,0.0,33.33333333333333,-36.84350509868251,v7_lift_weights,2026-06-21,Sunday,498
20260621,3074,ミリオンゴッド‐神々の軌跡‐,4,0,2275,-2700,2026-06-21,21,6,0621,True,False,False,3F,3073-3087,3073,3087,2,14,15,large,L,2,14,N,3F_L_N,60.43956043956044,14,21,6,-98.18840579710145,50.0,-185.71428571428572,-274.34944237918216,-6.608695652173913,0.0,-298.2608695652174,95.88590563368341,0.34202898550724636,26.956521739130434,0.0,0.0,26.956521739130434,-38.11886741752309,v7_lift_weights,2026-06-21,Sunday,499
20260621,3259,真打 吉宗,9,0,3834,-1400,2026-06-21,21,6,0621,True,False,False,3F,3250-3264,3250,3264,10,6,15,large,R,10,6,N,3F_R_N,87.8282037906451,6,21,6,211.95652173913044,0.0,-214.28571428571428,127.05167173252279,0.0,0.0,536.231884057971,103.80020632311496,0.4318840579710145,36.811594202898554,0.0,0.0,36.811594202898554,-46.06197335548463,v7_lift_weights,2026-06-21,Sunday,500
20260621,3228,東京喰種,8,0,4335,-800,2026-06-21,21,6,0621,True,False,False,3F,3218-3233,3218,3233,11,6,16,large,R,11,6,N,3F_R_N,93.84851980007689,6,21,6,211.95652173913044,0.0,-214.28571428571428,127.05167173252279,0.0,0.0,56.52173913043478,101.23918081566472,0.4144927536231884,34.20289855072463,0.0,0.0,34.20289855072463,-46.714147268528116,v7_lift_weights,2026-06-21,Sunday,501
20260621,3094,革命機ヴァルヴレイヴ2,4,0,7560,-3800,2026-06-21,21,6,0621,True,False,False,3F,3088-3102,3088,3102,7,9,15,large,L,7,7,N,3F_L_N,83.24514991181657,7,21,6,111.95652173913044,0.0,-475.0,-92.02127659574468,-6.608695652173913,0.0,549.5652173913044,102.75249554096808,0.39420289855072466,35.65217391304348,0.0,0.0,35.65217391304348,-47.44946305755538,v7_lift_weights,2026-06-21,Sunday,502
20260621,3082,ミリオンゴッド‐神々の軌跡‐,2,0,7311,-4300,2026-06-21,21,6,0621,True,False,False,3F,3073-3087,3073,3087,10,6,15,large,R,10,6,N,3F_R_N,80.3948388273378,6,21,6,211.95652173913044,0.0,-214.28571428571428,127.05167173252279,0.0,0.0,0.2898550724637681,98.18434453414442,0.3652173913043478,30.72463768115942,0.0,0.0,30.72463768115942,-47.58371248591942,v7_lift_weights,2026-06-21,Sunday,503
