index,debut_phase,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
2,61-180日,-73.17073170731707,116.49331352154532,43.90243902439025,102.77273659316377,-189.6640452288624,1.0,1.7414634146341466,2.0,1.7414634146341466,4.0,1.393170731707317,8.0,1.314312011044639,6.0,1.5143160127253446,4.0,1.3395872420262664,2026-01-17,v12c_tuned,90,event,top50
3,pre_existing,788.0,54.21686746987952,48.0,104.6252119370505,733.7831325301205,1.0,1.4280000000000002,2.0,1.4280000000000002,9.0,2.5704,9.0,1.2124528301886792,9.0,1.8626086956521741,9.0,2.4715384615384615,2026-01-17,v12c_tuned,90,event,top50
0,1-14日,-596.0,158.43373493975903,38.0,99.14490788037891,-754.433734939759,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,9.0,1.2124528301886792,7.0,1.4486956521739132,4.0,1.0984615384615384,2026-01-17,v12c_tuned,90,event,bottom50
1,15-60日,-826.0,175.75301204819277,34.0,95.12503525100163,-1001.7530120481928,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,4.0,0.5388679245283019,2.0,0.4139130434782609,2.0,0.5492307692307692,2026-01-17,v12c_tuned,90,event,bottom50
2,61-180日,-73.17073170731707,116.49331352154532,43.90243902439025,102.7727365931638,-189.6640452288624,1.0,1.7414634146341466,2.0,1.7414634146341466,4.0,1.393170731707317,8.0,1.314312011044639,6.0,1.5143160127253446,4.0,1.3395872420262664,2026-01-17,v12c_tuned,90,event,bottom50
3,pre_existing,-780.0,172.289156626506,32.0,99.10437976556732,-952.289156626506,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,9.0,1.2124528301886792,6.0,1.2417391304347827,4.0,1.0984615384615384,2026-01-17,v12c_tuned,90,event,bottom50
0,1-14日,-356.0,140.36144578313252,40.0,100.60901799339831,-496.3614457831325,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,10.0,1.3471698113207546,8.0,1.6556521739130436,5.0,1.373076923076923,2026-01-17,v12d_tuned_half,90,event,top50
1,15-60日,-930.0,183.5843373493976,34.0,94.92285891765269,-1113.5843373493976,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,4.0,0.5388679245283019,2.0,0.4139130434782609,2.0,0.5492307692307692,2026-01-17,v12d_tuned_half,90,event,top50
2,61-180日,-73.17073170731707,116.49331352154532,43.90243902439025,102.77273659316377,-189.6640452288624,1.0,1.7414634146341466,2.0,1.7414634146341466,4.0,1.393170731707317,8.0,1.314312011044639,6.0,1.5143160127253446,4.0,1.3395872420262664,2026-01-17,v12d_tuned_half,90,event,top50
3,pre_existing,788.0,54.21686746987952,48.0,104.6252119370505,733.7831325301205,1.0,1.4280000000000002,2.0,1.4280000000000002,9.0,2.5704,9.0,1.2124528301886792,9.0,1.8626086956521741,9.0,2.4715384615384615,2026-01-17,v12d_tuned_half,90,event,top50
0,1-14日,-596.0,158.43373493975903,38.0,99.14490788037891,-754.433734939759,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,9.0,1.2124528301886792,7.0,1.4486956521739132,4.0,1.0984615384615384,2026-01-17,v12d_tuned_half,90,event,bottom50
1,15-60日,-826.0,175.75301204819277,34.0,95.12503525100163,-1001.7530120481928,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,4.0,0.5388679245283019,2.0,0.4139130434782609,2.0,0.5492307692307692,2026-01-17,v12d_tuned_half,90,event,bottom50
2,61-180日,-73.17073170731707,116.49331352154532,43.90243902439025,102.77273659316377,-189.6640452288624,1.0,1.7414634146341466,2.0,1.7414634146341466,4.0,1.393170731707317,8.0,1.314312011044639,6.0,1.5143160127253446,4.0,1.3395872420262664,2026-01-17,v12d_tuned_half,90,event,bottom50
3,pre_existing,-780.0,172.289156626506,32.0,99.10437976556732,-952.289156626506,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,9.0,1.2124528301886792,6.0,1.2417391304347827,4.0,1.0984615384615384,2026-01-17,v12d_tuned_half,90,event,bottom50
0,1-14日,-596.0,37.5,34.0,99.24007501615344,-633.5,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,8.0,1.1657142857142857,6.0,1.26,4.0,1.0984615384615384,2026-01-18,v12c_tuned,90,non_event,top50
1,15-60日,202.0,-22.59036144578313,44.0,102.19186445072737,224.59036144578312,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,9.0,1.3114285714285716,6.0,1.26,4.0,1.0984615384615384,2026-01-18,v12c_tuned,90,non_event,top50
2,61-180日,-445.94594594594594,17.134416543574595,32.432432432432435,99.1111469771813,-463.08036248952055,1.0,1.9297297297297296,2.0,1.9297297297297296,5.0,1.9297297297297296,6.0,1.1814671814671815,6.0,1.7027027027027029,5.0,1.8555093555093554,2026-01-18,v12c_tuned,90,non_event,top50
3,pre_existing,416.0,-38.704819277108435,46.0,102.01758926295165,454.7048192771084,1.0,1.4280000000000002,1.0,0.7140000000000001,6.0,1.7136,9.0,1.3114285714285716,7.0,1.47,6.0,1.6476923076923078,2026-01-18,v12c_tuned,90,non_event,top50
0,1-14日,-658.0,42.16867469879518,34.0,98.21760600135379,-700.1686746987951,1.0,1.4280000000000002,2.0,1.4280000000000002,3.0,0.8568,7.0,1.02,5.0,1.05,3.0,0.8238461538461539,2026-01-18,v12c_tuned,90,non_event,bottom50
1,15-60日,-38.0,-4.518072289156627,40.0,99.70754765527653,-33.48192771084337,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,8.0,1.1657142857142857,5.0,1.05,3.0,0.8238461538461539,2026-01-18,v12c_tuned,90,non_event,bottom50
2,61-180日,-445.94594594594594,17.134416543574595,32.432432432432435,99.1111469771813,-463.08036248952055,1.0,1.9297297297297296,2.0,1.9297297297297296,5.0,1.9297297297297296,6.0,1.1814671814671815,6.0,1.7027027027027029,5.0,1.8555093555093554,2026-01-18,v12c_tuned,90,non_event,bottom50
3,pre_existing,784.0,-66.41566265060241,46.0,106.14880214361479,850.4156626506024,1.0,1.4280000000000002,5.0,3.5700000000000003,9.0,2.5704,13.0,1.8942857142857144,9.0,1.8900000000000001,9.0,2.4715384615384615,2026-01-18,v12c_tuned,90,non_event,bottom50
0,1-14日,-596.0,37.5,34.0,99.24007501615343,-633.5,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,8.0,1.1657142857142857,6.0,1.26,4.0,1.0984615384615384,2026-01-18,v12d_tuned_half,90,non_event,top50
1,15-60日,202.0,-22.59036144578313,44.0,102.19186445072735,224.59036144578312,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,9.0,1.3114285714285716,6.0,1.26,4.0,1.0984615384615384,2026-01-18,v12d_tuned_half,90,non_event,top50
2,61-180日,-445.94594594594594,17.134416543574595,32.432432432432435,99.1111469771813,-463.08036248952055,1.0,1.9297297297297296,2.0,1.9297297297297296,5.0,1.9297297297297296,6.0,1.1814671814671815,6.0,1.7027027027027029,5.0,1.8555093555093554,2026-01-18,v12d_tuned_half,90,non_event,top50
3,pre_existing,416.0,-38.704819277108435,46.0,102.01758926295165,454.7048192771084,1.0,1.4280000000000002,1.0,0.7140000000000001,6.0,1.7136,9.0,1.3114285714285716,7.0,1.47,6.0,1.6476923076923078,2026-01-18,v12d_tuned_half,90,non_event,top50
0,1-14日,-658.0,42.16867469879518,34.0,98.21760600135379,-700.1686746987951,1.0,1.4280000000000002,2.0,1.4280000000000002,3.0,0.8568,7.0,1.02,5.0,1.05,3.0,0.8238461538461539,2026-01-18,v12d_tuned_half,90,non_event,bottom50
1,15-60日,-38.0,-4.518072289156627,40.0,99.70754765527653,-33.48192771084337,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,8.0,1.1657142857142857,5.0,1.05,3.0,0.8238461538461539,2026-01-18,v12d_tuned_half,90,non_event,bottom50
2,61-180日,-445.94594594594594,17.134416543574595,32.432432432432435,99.1111469771813,-463.08036248952055,1.0,1.9297297297297296,2.0,1.9297297297297296,5.0,1.9297297297297296,6.0,1.1814671814671815,6.0,1.7027027027027029,5.0,1.8555093555093554,2026-01-18,v12d_tuned_half,90,non_event,bottom50
