date,weekday,best_row_group,best_row_mean,all_rows_mean,row_concentration_ratio,gini_above_mean,n_row_groups
2025-05-28,水,87,2208.35,-40.05477139317928,-55.133256867771024,0.31472796167870176,142
2025-05-29,木,105,1686.0,-73.64716917882,-22.89293694244086,0.32088270182566836,142
2025-05-30,金,93,2406.1,86.92484718833144,27.680232727783135,0.32251133922177133,142
2025-05-31,土,238,2664.9,-79.65600623428493,-33.45510434156055,0.30258194206946976,142
2025-06-01,日,163,3200.0,50.25234222305916,63.67862388972637,0.3325365034242149,142
2025-06-02,月,58,1545.0,-115.11882525674235,-13.42091527214843,0.32986920532112407,142
2025-06-03,火,326,3102.4285714285716,17.221205280639662,180.1516514593998,0.2948754837503058,142
2025-06-04,水,326,1687.4285714285713,-26.096154228285588,-64.66196347044767,0.3122760230019168,142
2025-06-05,木,34,1748.3076923076924,22.26964142664848,78.50632431897256,0.3700575009691174,142
2025-06-06,金,324,4005.1,260.91239984615004,15.350362812812472,0.2931402959379035,142
2025-06-07,土,53,2876.2,-29.531197885972187,-97.39530414938714,0.31369138525934726,142
2025-06-08,日,94,2206.0,-73.35848180965628,-30.071505647075988,0.318020137115975,142
2025-06-09,月,103,1695.6,14.374849524822167,117.95601735323044,0.27585275665794184,142
2025-06-10,火,104,1576.5,-26.979589910587478,-58.43306014749102,0.2953472076238526,142
2025-06-11,水,324,2409.9,-3.490110050837936,-690.4939858333149,0.29470720559368413,142
2025-06-12,木,99,1254.7,-110.98049595056239,-11.305590133233153,0.2909917289855455,142
2025-06-13,金,50,2185.5555555555557,-45.75410181884512,-47.76742343689441,0.29257234952000566,142
2025-06-14,土,207,1201.6923076923076,-18.70806411146341,-64.23392075912162,0.32933145348084425,142
2025-06-15,日,105,2119.3,-50.79636396914235,-41.721490169796944,0.29325163579904623,142
2025-06-16,月,93,2894.2,64.89535210917037,44.597955106726666,0.3631542340462528,142
2025-06-17,火,95,1691.6,11.330957647546084,149.2901176244662,0.3429814844120904,142
2025-06-18,水,86,1224.142857142857,0.291231978029597,4203.32569735337,0.3179584607033683,142
2025-06-19,木,37,2984.75,7.770912457364983,384.0926038448888,0.3191735729787204,142
2025-06-20,金,30,1642.0,-80.69841343522715,-20.347364094313413,0.3038239507538687,142
2025-06-21,土,88,1429.2631578947369,-43.95691286525471,-32.51509409398228,0.3305982685101434,142
2025-06-22,日,238,1948.3,-88.8779501525363,-21.921072624382546,0.31721962422867267,142
2025-06-23,月,324,3690.8,-115.91074456112338,-31.841741798610613,0.29496942897696266,142
2025-06-24,火,51,1309.7,-51.54721030635293,-25.40777652595074,0.3003497404058615,142
2025-06-25,水,53,1379.8,-75.81641400458709,-18.199225301219318,0.29320299908906167,142
2025-06-26,木,250,2288.4,-27.552427727338742,-83.05620189430161,0.3174054265953574,142
2025-06-27,金,209,1914.3636363636363,-12.508177677341735,-153.04896410541565,0.33169752547698006,142
2025-06-28,土,99,1441.9,-162.53905013891028,-8.871098968326155,0.3079697698385435,142
2025-06-29,日,326,3782.5714285714284,-104.87277439791755,-36.06819262947371,0.2768811311448458,142
2025-06-30,月,206,2364.3571428571427,190.85308762958505,12.388362023495146,0.34761860637509256,142
