date,weekday,avg_diff,is_anomaly,anomaly_direction,zscore,rolling_median,iqd_bound_upper,iqd_bound_lower
2025-05-04,日,-142.81456154465005,0,,-1.8370508262958705,-36.88193885760258,118.69688994700824,-192.4607676622134
2025-05-05,月,142.84875301689462,0,,2.556466225195575,-25.363636363636363,152.16150442477874,-202.8887771520515
2025-05-06,火,-3.8885760257441673,0,,0.2711684319493794,-21.3744971842317,152.60229999106105,-195.35129435952445
2025-05-07,水,19.035800482703138,0,,0.6266754238241237,-21.3744971842317,152.60229999106105,-195.35129435952445
2025-05-08,木,-19.557119871279163,0,,0.028183551312337202,-21.3744971842317,152.60229999106105,-195.35129435952445
2025-05-09,金,6.600160901045856,0,,0.42807136837840515,-21.26609010458568,154.3661777062662,-196.89835791543757
2025-05-10,土,72.22244569589702,0,,1.4361374064892507,-21.26609010458568,154.3661777062662,-196.89835791543757
2025-05-11,日,57.15607401448109,0,,1.204693200346918,-21.26609010458568,154.3661777062662,-196.89835791543757
2025-05-12,月,-67.88535800482703,0,,-0.6532034598077651,-25.363636363636363,150.2686314472155,-200.99590417448826
2025-05-13,火,18.78439259855189,0,,0.5921803844771024,-21.26609010458568,161.20567891302406,-203.73785912219543
2025-05-14,水,3.1930812550281575,0,,0.36164961124408007,-21.26609010458568,161.20567891302406,-203.73785912219543
2025-05-15,木,21.995172968624296,0,,0.6185201451796913,-20.008849557522126,163.2137239653169,-203.23142308036114
2025-05-16,金,-112.68463395012067,0,,-1.3387483989769822,-20.008849557522126,166.76206757843926,-206.7797666934835
2025-05-17,土,-25.078439259855188,0,,-0.0334882775502437,-22.769509251810135,163.250603378922,-208.78962188254224
2025-05-18,日,-204.39581657280772,0,,-2.6342730913447183,-22.769509251810135,163.250603378922,-208.78962188254224
2025-05-19,月,4.385760257441674,0,,0.35381473728824553,-20.008849557522126,166.01126307321,-206.02896218825424
2025-05-20,火,-58.29525341914722,0,,-0.5735111516089517,-20.008849557522126,160.10398230088492,-200.12168141592917
2025-05-21,水,1.587288817377313,0,,0.2135374175531756,-11.722847948511665,156.44790828640387,-179.8936041834272
2025-05-22,木,172.0506838294449,1,high,2.9483187198392624,-11.722847948511665,156.44790828640387,-179.8936041834272
2025-05-23,金,-50.08970233306516,0,,-0.49958125720398205,-20.008849557522126,142.44348350764278,-182.46118262268703
2025-05-24,土,132.2960579243765,0,,2.4326003062349533,-20.008849557522126,148.91271118262267,-188.93041029766692
2025-05-25,日,-24.12872083668544,0,,-0.07288631804675781,-20.008849557522126,132.49456958970234,-172.5122687047466
2025-05-26,月,57.23974255832663,0,,1.2004064558322045,-11.722847948511665,143.27554304102975,-166.72123893805306
2025-05-27,火,25.09452936444087,0,,0.4839091545104551,-1.1506436041834271,145.17739340305712,-147.47868061142395
2025-05-28,水,-31.320997586484314,0,,-0.5562817400483546,-1.1506436041834271,145.17739340305712,-147.47868061142395
2025-05-29,木,-71.1934835076428,0,,-1.2914516310376156,-1.1506436041834271,145.17739340305712,-147.47868061142395
2025-05-30,金,53.001609010458566,0,,0.9984605858347892,-1.1506436041834271,145.17739340305712,-147.47868061142395
2025-05-31,土,-103.76387771520515,0,,-1.7182118049140958,-1.1506436041834271,159.97646822204345,-162.27775543041028
2025-06-01,日,65.16291230893,0,,0.8280187893329137,2.3901850362027353,206.92759452936443,-202.14722445695898
2025-06-02,月,-92.80812550281577,0,,-1.255736261013216,2.3901850362027353,206.92759452936443,-202.14722445695898
2025-06-03,火,-9.771186440677965,0,,-0.17944941676229692,2.3901850362027353,185.2349155269509,-180.45454545454547
2025-06-04,水,-15.731638418079097,0,,-0.28213636482173077,-1.1506436041834271,138.28378921962994,-140.58507642799677
2025-06-05,木,38.85673930589185,0,,0.608725671717739,2.3901850362027353,164.01761097010083,-159.2372408976954
2025-06-06,金,256.5682001614205,1,high,3.6145434971458728,2.3901850362027353,192.1160204976764,-187.33565042527096
2025-06-07,土,-20.894673123486683,0,,-0.3311227865305618,2.3901850362027353,192.1160204976764,-187.33565042527096
2025-06-08,日,-64.01977401129943,0,,-0.7647640169956404,-4.091948811650326,207.32656565223687,-215.51046327553752
2025-06-09,月,-7.359967715899919,0,,0.017743466058213517,-8.565577078288943,174.75452785802267,-191.88568201460058
2025-06-10,火,-33.41848264729621,0,,-0.34606066487480974,-12.751412429378531,148.37569939684835,-173.87852425560538
2025-06-11,水,-34.883777239709445,0,,-0.42285006833894395,-12.751412429378531,128.46441022104742,-153.96723507980445
2025-06-12,木,-111.83333333333333,0,,-1.5659527202093808,-18.313155770782892,142.81395605544398,-179.44026759700975
2025-06-13,金,-80.62389023405973,0,,-0.9020233730803847,-22.51169698008606,151.30497127741015,-196.3283652375823
2025-06-14,土,2.0242130750605325,0,,0.40117022163604327,-22.51169698008606,142.50026492181883,-187.52365888199097
2025-06-15,日,-67.02017756255044,0,,-0.7277283369485389,-22.51169698008606,142.50026492181883,-187.52365888199097
2025-06-16,月,96.25493354812727,0,,1.5769870874004988,-18.313155770782892,177.6965055967981,-214.32281713836386
2025-06-17,火,7.652033830044301,0,,0.300286201707377,-12.751412429378531,170.5686925069331,-196.07151736569014
2025-06-18,水,-4.62102295610149,0,,0.11965840193317752,-12.751412429378531,170.5686925069331,-196.07151736569014
2025-06-19,木,-24.43576318968989,0,,-0.1929172438133428,-12.751412429378531,150.65740333113214,-176.16022818988918
2025-06-20,金,-84.7849375755135,0,,-0.934520231197614,-18.313155770782892,173.59373005375704,-210.2200415953228
2025-06-21,土,-48.92509061619009,0,,-0.43842941734359225,-22.51169698008606,140.03062616507913,-185.05402012525127
2025-06-22,日,-64.84897301651229,0,,-0.6689616189076885,-22.51169698008606,148.23946051201554,-193.26285447218768
2025-06-23,月,-94.85783326621024,0,,-1.3091757217515347,-24.282242013187663,121.16266812149087,-169.7271521478662
2025-06-24,火,-67.03906564639549,0,,-0.7209085822370188,-27.878380388087102,118.68046414537807,-174.43722492155226
2025-06-25,水,-83.36367297623842,0,,-0.9755101818833949,-32.36974011689026,108.66582610231174,-173.40530633609225
2025-06-26,木,-25.35924285138945,0,,0.14583329467364314,-32.36974011689026,97.32849967566949,-162.06797990945
2025-06-27,金,-4.5473217881594845,0,,0.5109267001117885,-29.388862749342827,101.78940117502916,-160.5671266737148
2025-06-28,土,-146.1816351188079,0,,-2.168307870890272,-29.388862749342827,115.93501126465455,-174.7127367633402
2025-06-29,日,-146.00161095449053,0,,-1.9501164618856603,-34.15112994350282,120.59480634578246,-188.89706623278812
2025-06-30,月,234.0926298832058,1,high,4.891646826413023,-29.388862749342827,115.93501126465455,-174.7127367633402
2025-07-01,火,57.32984293193717,0,,1.6099699345033844,-29.388862749342827,115.93501126465455,-174.7127367633402
2025-07-02,水,-110.16633105114781,0,,-1.4996683164204558,-29.388862749342827,115.93501126465455,-174.7127367633402
2025-07-03,木,-9.416834474426098,0,,0.37078926398931034,-29.388862749342827,115.93501126465455,-174.7127367633402
2025-07-04,金,-15.459524768425291,0,,0.2586041290703256,-29.388862749342827,115.93501126465455,-174.7127367633402
2025-07-05,土,-48.89558883043302,0,,-0.27655370813225455,-34.15112994350282,109.69271993868232,-177.99497982568795
2025-07-06,日,-48.031007751937985,0,,-0.12786387163169055,-41.45739249582371,97.2496068674007,-180.16439185904812
2025-07-07,月,736.4409005628518,1,high,14.590610557151363,-41.45739249582371,102.38645738636143,-185.30124237800885
2025-07-08,火,274.484052532833,1,high,5.729944429096006,-34.15112994350282,111.17274407049455,-179.47500395750018
2025-07-09,水,233.42151344590368,1,high,4.650948129647388,-34.15112994350282,121.06689694929558,-189.36915683630122
2025-07-10,木,350.87589928057554,1,high,6.157283985591828,-30.12151004554945,136.8240154113346,-197.06703550243353
2025-07-11,金,243.56848030018762,1,high,2.96517373685404,-24.89750302053967,219.3786464666756,-269.1736525077549
2025-07-12,土,295.70950594121325,1,high,2.773033529413522,-19.94764397905759,287.1683650599703,-327.0636530180855
2025-07-13,日,194.70200125078173,0,,1.1811934148945569,-12.438179621425695,460.6970418808923,-485.57340112374374
2025-07-14,月,151.53345841150718,0,,0.8834225656576218,-12.438179621425695,488.3363043125823,-513.2126635554337
2025-07-15,火,145.56941838649155,0,,0.8409325645245673,-7.018928715263794,482.5368071995259,-496.57466463005346
